timestamp,process_stage,machine_id,shift,units_processed,cycle_time_sec,downtime_min,defect_rate,operator_efficiency,energy_consumed_kwh
2022-01-04 03:00:00,Assembly,M3,Evening,18,320.51,12.39,0.025,0.97,52.61
2022-01-04 04:00:00,Cutting,M4,Night,22,302.51,10.13,0.01,0.75,42.09
2022-01-04 05:00:00,Inspection,M2,Morning,18,285.84,3.51,0.007,0.96,33.55
2022-01-04 06:00:00,Inspection,M2,Morning,18,319.43,13.32,0.065,0.83,52.21
2022-01-04 07:00:00,Inspection,M4,Morning,22,275.35,8.59,0.094,0.8,64.52
2022-01-04 08:00:00,Packaging,M5,Morning,17,210.79,19.75,0.069,0.72,53.21
2022-01-04 09:00:00,Cutting,M2,Night,16,253.61,6.5,0.031,0.86,51.77
2022-01-04 10:00:00,Packaging,M2,Evening,11,247.61,1.99,0.034,0.76,36.67
2022-01-04 11:00:00,Packaging,M3,Evening,21,219.79,10.07,0.054,0.98,56.28
2022-01-04 12:00:00,Cutting,M4,Evening,9,318.47,1.63,0.087,0.77,44.46
2022-01-04 13:00:00,Cutting,M2,Night,25,291.36,33.01,0.02,0.88,42.22
2022-01-04 14:00:00,Cutting,M5,Night,15,317.7,12.15,0.047,0.87,58.82
2022-01-04 15:00:00,Cutting,M1,Night,20,326.04,14.12,0.05,0.8,37.84
2022-01-04 16:00:00,Inspection,M4,Evening,11,337.82,11.37,0.093,0.96,47.88
2022-01-04 17:00:00,Painting,M3,Night,24,320.35,1.03,0.054,0.75,38.52
2022-01-04 18:00:00,Painting,M2,Night,23,251.02,6.26,0.078,0.95,47.01
2022-01-04 19:00:00,Cutting,M5,Morning,23,328.98,10.54,0.009,0.76,28.08
2022-01-04 20:00:00,Painting,M4,Morning,27,311.09,2.61,0.033,0.71,55.42
2022-01-04 21:00:00,Painting,M5,Evening,16,409.51,11.38,0.061,0.98,53.9
2022-01-04 22:00:00,Cutting,M5,Morning,19,300.4,17.14,0.068,0.89,71.77
2022-01-04 23:00:00,Painting,M3,Morning,14,319.14,3.21,0.089,0.89,52.42
2022-01-05 00:00:00,Packaging,M4,Morning,18,295.26,2.23,0.059,0.78,40.98
2022-01-05 01:00:00,Assembly,M2,Night,24,302.44,21.47,0.029,0.74,59.92
2022-01-05 02:00:00,Assembly,M3,Morning,20,299.07,0.05,0.054,0.91,59.69
2022-01-05 03:00:00,Cutting,M2,Morning,17,278.27,2.95,0.071,0.86,63.07
2022-01-05 04:00:00,Inspection,M1,Morning,23,308.87,5.22,0.078,0.8,30.39
2022-01-05 05:00:00,Cutting,M5,Night,19,331.09,11.16,0.094,0.8,42.99
2022-01-05 06:00:00,Inspection,M1,Evening,17,279.02,58.31,0.019,0.97,40.92
2022-01-05 07:00:00,Assembly,M5,Night,15,341.78,4.63,0.066,0.97,65.29
2022-01-05 08:00:00,Cutting,M3,Night,24,335.72,29.72,0.02,0.78,58.06
2022-01-05 09:00:00,Packaging,M2,Morning,16,255.99,4.57,0.032,0.94,61.3
2022-01-05 10:00:00,Painting,M2,Evening,23,251.82,11.89,0.014,0.77,39.15
2022-01-05 11:00:00,Inspection,M3,Morning,17,322.41,1.81,0.077,0.94,51.33
2022-01-05 12:00:00,Painting,M4,Morning,18,270.62,6.17,0.091,0.74,33.73
2022-01-05 13:00:00,Painting,M1,Evening,23,247.71,20.5,0.003,0.93,38.98
2022-01-05 14:00:00,Cutting,M1,Evening,16,385.84,3.86,0.081,0.87,51.24
2022-01-05 15:00:00,Painting,M2,Night,14,251.68,1.11,0.024,0.74,52.22
2022-01-05 16:00:00,Packaging,M2,Evening,12,223.82,7.4,0.049,0.88,53.93
2022-01-05 17:00:00,Painting,M2,Night,24,260.82,5.79,0.075,0.76,43.5
2022-01-05 18:00:00,Cutting,M3,Night,13,311.58,2.61,0.051,0.76,54.25
2022-01-05 19:00:00,Packaging,M4,Morning,32,303.68,23.6,0.023,0.83,50.05
2022-01-05 20:00:00,Assembly,M1,Morning,20,394.36,9.21,0.091,0.99,65.7
2022-01-05 21:00:00,Painting,M5,Morning,20,261.58,4.26,0.059,0.97,45.73
2022-01-05 22:00:00,Cutting,M3,Evening,19,311.81,55.55,0.093,0.95,31.65
2022-01-05 23:00:00,Assembly,M1,Evening,23,356.42,1.48,0.085,0.96,56.17
2022-01-06 00:00:00,Assembly,M4,Night,21,267.05,18.84,0.088,0.85,53.36
2022-01-06 01:00:00,Inspection,M3,Night,14,335.19,2.62,0.036,0.81,41.1
2022-01-06 02:00:00,Packaging,M1,Night,27,208.39,2.74,0.099,0.97,46.73
2022-01-06 03:00:00,Painting,M3,Evening,16,387.94,6.89,0.085,0.72,51.94
2022-01-06 04:00:00,Cutting,M1,Night,20,349.74,10.85,0.034,1.0,46.21
2022-01-06 05:00:00,Inspection,M1,Night,18,265.97,11.73,0.09,0.87,38.9
2022-01-06 06:00:00,Packaging,M4,Evening,12,341.49,0.22,0.076,0.86,48.0
2022-01-06 07:00:00,Inspection,M5,Morning,21,365.66,3.38,0.073,0.79,58.84
2022-01-06 08:00:00,Packaging,M4,Evening,26,235.57,10.81,0.001,0.75,46.38
2022-01-06 09:00:00,Packaging,M1,Night,22,270.01,22.05,0.002,0.9,52.12
2022-01-06 10:00:00,Painting,M3,Morning,19,367.3,11.08,0.069,0.81,48.19
2022-01-06 11:00:00,Packaging,M4,Evening,20,303.37,3.09,0.028,0.79,37.65
2022-01-06 12:00:00,Inspection,M5,Morning,20,321.81,7.09,0.006,0.75,48.94
2022-01-06 13:00:00,Packaging,M1,Morning,24,303.51,10.43,0.029,0.86,45.55
2022-01-06 14:00:00,Painting,M4,Night,21,344.57,1.45,0.084,0.88,57.59
2022-01-06 15:00:00,Painting,M4,Evening,30,325.65,7.87,0.047,0.83,62.35
2022-01-06 16:00:00,Inspection,M4,Night,21,305.31,6.38,0.062,0.7,58.82
2022-01-06 17:00:00,Assembly,M4,Evening,18,194.92,4.1,0.08,0.85,42.65
2022-01-06 18:00:00,Assembly,M3,Evening,25,332.0,9.77,0.032,0.78,38.37
2022-01-06 19:00:00,Packaging,M5,Evening,23,336.46,10.11,0.001,0.74,34.86
2022-01-06 20:00:00,Cutting,M5,Morning,19,238.02,35.57,0.032,0.87,51.69
2022-01-06 21:00:00,Packaging,M1,Morning,16,241.42,5.59,0.096,0.9,42.91
2022-01-06 22:00:00,Inspection,M2,Night,19,325.88,7.58,0.048,0.86,38.87
2022-01-06 23:00:00,Inspection,M3,Evening,19,309.72,1.71,0.057,0.88,69.62
2022-01-07 00:00:00,Inspection,M1,Evening,22,201.26,7.95,0.076,0.88,54.86
2022-01-07 01:00:00,Inspection,M1,Morning,24,258.9,0.37,0.011,0.74,53.36
2022-01-07 02:00:00,Inspection,M4,Evening,19,315.69,1.62,0.073,0.76,52.86
2022-01-07 03:00:00,Painting,M2,Night,23,333.83,1.88,0.03,0.7,66.19
2022-01-07 04:00:00,Assembly,M2,Evening,14,270.78,10.01,0.039,0.99,48.33
2022-01-07 05:00:00,Inspection,M3,Evening,30,292.63,8.38,0.027,0.76,56.18
2022-01-07 06:00:00,Cutting,M2,Morning,20,256.03,16.0,0.015,0.94,59.03
2022-01-07 07:00:00,Cutting,M1,Evening,23,366.2,6.24,0.036,0.93,68.58
2022-01-07 08:00:00,Cutting,M2,Night,24,308.73,6.44,0.009,0.91,49.99
2022-01-07 09:00:00,Cutting,M2,Night,15,266.62,1.76,0.084,0.83,62.35
2022-01-07 10:00:00,Painting,M5,Night,13,242.18,13.58,0.031,0.88,31.72
2022-01-07 11:00:00,Cutting,M1,Night,25,236.66,0.04,0.065,0.76,71.17
2022-01-07 12:00:00,Inspection,M2,Morning,14,390.58,5.53,0.03,0.73,54.23
2022-01-07 13:00:00,Packaging,M2,Evening,19,291.32,2.09,0.021,0.81,57.55
2022-01-07 14:00:00,Cutting,M4,Morning,17,280.02,14.74,0.071,0.95,37.16
2022-01-07 15:00:00,Painting,M2,Night,20,289.34,11.19,0.062,0.87,36.51
2022-01-07 16:00:00,Painting,M2,Evening,26,268.49,12.27,0.022,0.93,43.54
2022-01-07 17:00:00,Cutting,M5,Morning,16,294.65,1.61,0.061,0.97,50.2
2022-01-07 18:00:00,Packaging,M1,Evening,24,301.75,11.05,0.001,0.87,47.45
2022-01-07 19:00:00,Cutting,M3,Night,20,300.75,11.74,0.018,0.81,45.9
2022-01-07 20:00:00,Painting,M1,Night,20,236.87,0.03,0.073,0.96,48.03
2022-01-07 21:00:00,Assembly,M4,Evening,18,344.62,3.82,0.041,0.77,26.65
2022-01-07 22:00:00,Inspection,M1,Evening,29,272.35,0.91,0.02,0.71,54.27
2022-01-07 23:00:00,Painting,M2,Night,24,267.07,11.44,0.051,0.72,48.3
2022-01-08 00:00:00,Cutting,M4,Morning,15,264.81,2.38,0.047,0.87,59.51
2022-01-08 01:00:00,Inspection,M1,Night,24,247.38,3.07,0.063,0.97,45.24
2022-01-08 02:00:00,Cutting,M4,Evening,23,313.39,0.82,0.007,0.87,46.28
2022-01-08 03:00:00,Cutting,M3,Morning,25,344.75,6.61,0.082,0.82,51.58
2022-01-08 04:00:00,Assembly,M1,Night,22,263.85,0.34,0.006,0.87,56.84
2022-01-08 05:00:00,Inspection,M2,Evening,23,207.84,18.68,0.045,0.9,61.51
2022-01-08 06:00:00,Inspection,M4,Evening,21,248.64,0.27,0.071,0.93,49.59
2022-01-08 07:00:00,Assembly,M5,Evening,15,277.59,0.64,0.034,0.8,54.29
2022-01-08 08:00:00,Painting,M4,Morning,12,238.43,10.23,0.091,0.82,50.33
2022-01-08 09:00:00,Cutting,M5,Morning,25,270.06,24.88,0.076,0.71,47.06
2022-01-08 10:00:00,Packaging,M2,Morning,11,272.42,22.27,0.043,0.89,30.78
2022-01-08 11:00:00,Cutting,M3,Morning,23,299.23,0.87,0.018,0.93,52.06
2022-01-08 12:00:00,Cutting,M5,Evening,17,227.25,3.4,0.004,0.85,40.89
2022-01-08 13:00:00,Painting,M3,Evening,19,329.01,7.36,0.08,0.81,58.71
2022-01-08 14:00:00,Cutting,M4,Morning,18,383.05,0.27,0.019,0.8,41.32
2022-01-08 15:00:00,Assembly,M2,Morning,21,371.46,7.52,0.027,0.89,44.32
2022-01-08 16:00:00,Assembly,M5,Evening,22,270.8,5.94,0.001,0.8,41.78
2022-01-08 17:00:00,Inspection,M4,Night,29,333.43,8.88,0.002,0.88,55.33
2022-01-08 18:00:00,Packaging,M1,Night,23,327.51,25.3,0.023,0.98,46.97
2022-01-08 19:00:00,Cutting,M4,Evening,20,297.82,3.21,0.087,0.8,55.68
2022-01-08 20:00:00,Cutting,M3,Morning,14,308.85,10.19,0.078,0.72,23.3
2022-01-08 21:00:00,Painting,M2,Morning,21,334.15,5.62,0.077,0.96,69.94
2022-01-08 22:00:00,Assembly,M2,Evening,20,344.17,5.71,0.083,0.78,39.9
2022-01-08 23:00:00,Packaging,M4,Night,22,259.42,10.42,0.019,1.0,57.69
2022-01-09 00:00:00,Inspection,M1,Evening,19,337.38,30.23,0.098,0.95,55.0
2022-01-09 01:00:00,Assembly,M3,Evening,13,383.32,19.88,0.023,0.83,57.12
2022-01-09 02:00:00,Inspection,M4,Evening,19,344.11,10.2,0.015,0.89,41.82
2022-01-09 03:00:00,Painting,M4,Morning,14,376.82,6.19,0.029,0.78,46.61
2022-01-09 04:00:00,Painting,M2,Morning,21,170.82,5.52,0.053,0.73,53.98
2022-01-09 05:00:00,Cutting,M3,Morning,20,329.79,15.47,0.012,0.86,50.04
2022-01-09 06:00:00,Packaging,M1,Night,24,313.21,2.46,0.074,0.83,40.91
2022-01-09 07:00:00,Inspection,M2,Evening,19,351.35,8.86,0.037,0.99,55.73
2022-01-09 08:00:00,Assembly,M4,Evening,19,243.72,7.03,0.057,0.88,72.84
2022-01-09 09:00:00,Painting,M2,Night,22,274.69,10.48,0.073,0.92,45.78
2022-01-09 10:00:00,Cutting,M2,Morning,15,345.03,2.08,0.09,0.74,54.88
2022-01-09 11:00:00,Cutting,M5,Evening,27,247.02,11.9,0.082,0.92,52.28
2022-01-09 12:00:00,Inspection,M2,Night,33,312.12,9.86,0.054,0.72,46.29
2022-01-09 13:00:00,Painting,M2,Morning,27,299.15,1.99,0.099,0.88,58.06
2022-01-09 14:00:00,Packaging,M3,Morning,16,290.2,5.97,0.053,0.95,57.93
2022-01-09 15:00:00,Painting,M2,Evening,14,328.63,11.35,0.054,0.84,44.5
2022-01-09 16:00:00,Inspection,M1,Morning,36,244.22,23.19,0.016,0.76,64.33
2022-01-09 17:00:00,Inspection,M4,Night,19,260.99,1.3,0.015,0.83,50.11
2022-01-09 18:00:00,Painting,M3,Morning,23,293.04,0.09,0.017,0.95,60.76
2022-01-09 19:00:00,Inspection,M2,Evening,16,239.94,1.81,0.059,0.91,53.44
2022-01-09 20:00:00,Painting,M1,Night,21,361.55,45.35,0.042,0.88,50.4
2022-01-09 21:00:00,Assembly,M4,Morning,20,260.06,14.63,0.039,0.91,49.92
2022-01-09 22:00:00,Painting,M3,Morning,21,339.32,9.53,0.013,0.95,56.76
2022-01-09 23:00:00,Painting,M1,Morning,14,256.22,1.43,0.038,0.75,39.0
2022-01-10 00:00:00,Inspection,M2,Night,15,335.21,5.38,0.038,0.95,53.71
2022-01-10 01:00:00,Inspection,M5,Morning,21,219.56,12.56,0.062,0.94,63.1
2022-01-10 02:00:00,Cutting,M5,Evening,16,370.43,22.62,0.039,0.84,55.11
2022-01-10 03:00:00,Cutting,M3,Night,32,356.76,4.81,0.042,0.82,32.53
2022-01-10 04:00:00,Assembly,M1,Night,27,272.37,80.79,0.027,0.98,36.17
2022-01-10 05:00:00,Cutting,M4,Morning,14,258.72,1.51,0.013,0.95,50.21
2022-01-10 06:00:00,Painting,M1,Night,30,322.89,4.89,0.03,1.0,42.13
2022-01-10 07:00:00,Inspection,M5,Evening,26,223.69,20.83,0.004,0.89,58.9
2022-01-10 08:00:00,Cutting,M3,Night,21,301.74,10.5,0.02,0.71,45.26
2022-01-10 09:00:00,Cutting,M2,Evening,28,259.62,16.66,0.032,0.75,55.51
2022-01-10 10:00:00,Assembly,M1,Morning,22,287.28,23.84,0.015,0.95,69.39
2022-01-10 11:00:00,Assembly,M5,Night,16,267.81,7.08,0.066,0.89,50.23
2022-01-10 12:00:00,Painting,M4,Evening,13,260.08,2.68,0.028,0.76,39.88
2022-01-10 13:00:00,Inspection,M3,Morning,22,385.24,11.83,0.062,0.7,53.96
2022-01-10 14:00:00,Assembly,M2,Evening,20,339.03,8.29,0.064,0.78,52.83
2022-01-10 15:00:00,Cutting,M1,Night,11,226.01,14.81,0.045,0.74,52.5
2022-01-10 16:00:00,Inspection,M4,Night,13,256.21,7.17,0.045,0.96,63.68
2022-01-10 17:00:00,Inspection,M2,Evening,22,342.87,16.67,0.058,0.96,38.14
2022-01-10 18:00:00,Cutting,M5,Morning,21,348.43,23.23,0.026,0.95,59.99
2022-01-10 19:00:00,Assembly,M5,Morning,22,230.75,13.85,0.002,0.73,43.94
2022-01-10 20:00:00,Cutting,M4,Morning,14,334.93,13.61,0.065,0.74,63.81
2022-01-10 21:00:00,Inspection,M5,Morning,14,313.25,8.85,0.061,0.74,28.78
2022-01-10 22:00:00,Packaging,M3,Evening,25,202.92,6.38,0.048,0.78,72.31
2022-01-10 23:00:00,Packaging,M4,Night,22,279.84,35.97,0.088,0.72,47.29
2022-01-11 00:00:00,Painting,M5,Evening,19,293.19,10.36,0.051,0.99,37.9
2022-01-11 01:00:00,Cutting,M1,Night,23,302.42,18.35,0.03,0.96,59.08
2022-01-11 02:00:00,Cutting,M5,Night,19,233.97,7.04,0.071,0.72,55.12
2022-01-11 03:00:00,Painting,M3,Evening,21,261.85,8.09,0.096,0.74,54.53
2022-01-11 04:00:00,Painting,M2,Evening,11,268.85,10.87,0.074,0.78,59.3
2022-01-11 05:00:00,Painting,M2,Morning,24,273.22,13.04,0.091,0.93,50.36
2022-01-11 06:00:00,Inspection,M5,Night,18,274.05,5.95,0.011,0.91,47.07
2022-01-11 07:00:00,Cutting,M2,Morning,17,293.37,4.41,0.012,0.89,38.41
2022-01-11 08:00:00,Inspection,M5,Morning,18,315.48,2.74,0.015,0.97,48.86
2022-01-11 09:00:00,Painting,M3,Evening,19,388.71,5.51,0.07,0.71,44.89
2022-01-11 10:00:00,Cutting,M2,Morning,23,343.54,2.37,0.039,0.75,49.92
2022-01-11 11:00:00,Inspection,M1,Morning,24,365.84,5.39,0.048,0.76,51.13
2022-01-11 12:00:00,Inspection,M5,Morning,16,275.96,20.77,0.026,0.72,67.37
2022-01-11 13:00:00,Painting,M2,Evening,15,249.8,37.75,0.074,0.89,42.53
2022-01-11 14:00:00,Cutting,M3,Morning,15,340.07,8.61,0.085,0.76,48.59
2022-01-11 15:00:00,Painting,M3,Morning,21,299.19,1.58,0.016,0.84,45.65
2022-01-11 16:00:00,Cutting,M1,Evening,25,336.52,5.58,0.019,0.91,35.97
2022-01-11 17:00:00,Packaging,M3,Evening,28,255.88,9.21,0.034,0.88,79.12
2022-01-11 18:00:00,Assembly,M3,Evening,20,332.43,4.63,0.028,0.79,40.64
2022-01-11 19:00:00,Assembly,M2,Night,24,291.24,2.3,0.053,0.82,53.69
2022-01-11 20:00:00,Assembly,M5,Evening,24,276.95,2.57,0.075,0.8,67.0
2022-01-11 21:00:00,Painting,M4,Night,19,281.66,6.42,0.079,0.96,37.61
2022-01-11 22:00:00,Packaging,M3,Evening,20,324.52,2.44,0.021,0.83,58.76
2022-01-11 23:00:00,Cutting,M3,Evening,19,338.71,2.87,0.018,0.72,34.61
2022-01-12 00:00:00,Inspection,M4,Evening,20,281.68,20.64,0.036,0.89,41.98
2022-01-12 01:00:00,Cutting,M3,Night,20,317.22,15.1,0.015,0.76,55.61
2022-01-12 02:00:00,Inspection,M2,Morning,22,317.04,0.57,0.009,0.8,47.27
2022-01-12 03:00:00,Cutting,M2,Evening,17,336.92,3.86,0.024,0.8,64.55
2022-01-12 04:00:00,Packaging,M4,Night,14,349.35,7.59,0.039,0.72,51.29
2022-01-12 05:00:00,Inspection,M3,Evening,21,390.56,0.63,0.059,0.99,55.21
2022-01-12 06:00:00,Painting,M3,Morning,20,276.74,11.49,0.072,0.86,43.1
2022-01-12 07:00:00,Cutting,M5,Night,19,373.0,4.85,0.022,0.75,39.61
2022-01-12 08:00:00,Cutting,M3,Evening,19,305.85,5.06,0.082,0.87,38.44
2022-01-12 09:00:00,Inspection,M2,Evening,13,245.26,3.08,0.003,0.84,40.65
2022-01-12 10:00:00,Painting,M1,Evening,27,267.48,4.06,0.044,0.8,43.05
2022-01-12 11:00:00,Painting,M1,Morning,24,323.3,19.78,0.063,0.84,61.57
2022-01-12 12:00:00,Packaging,M1,Night,19,336.19,15.54,0.029,0.9,54.03
2022-01-12 13:00:00,Painting,M1,Evening,14,249.19,27.45,0.068,0.76,37.22
2022-01-12 14:00:00,Painting,M3,Evening,25,261.81,12.01,0.087,0.86,45.88
2022-01-12 15:00:00,Painting,M3,Night,20,273.34,8.62,0.009,0.94,49.7
2022-01-12 16:00:00,Assembly,M5,Morning,25,256.83,3.0,0.051,0.77,79.33
2022-01-12 17:00:00,Packaging,M3,Morning,23,206.0,10.99,0.002,0.85,50.09
2022-01-12 18:00:00,Cutting,M1,Morning,16,189.03,23.66,0.028,0.99,54.54
2022-01-12 19:00:00,Inspection,M4,Morning,24,280.91,0.72,0.014,0.94,40.08
2022-01-12 20:00:00,Cutting,M4,Morning,9,312.6,5.85,0.062,0.88,57.21
2022-01-12 21:00:00,Packaging,M2,Evening,16,332.78,1.62,0.025,0.92,63.8
2022-01-12 22:00:00,Inspection,M2,Evening,23,231.88,16.64,0.028,0.86,48.49
2022-01-12 23:00:00,Packaging,M3,Evening,26,232.73,9.52,0.021,1.0,56.15
2022-01-13 00:00:00,Painting,M4,Night,19,273.6,21.17,0.024,0.75,55.75
2022-01-13 01:00:00,Inspection,M1,Morning,26,300.17,0.65,0.023,0.92,50.69
2022-01-13 02:00:00,Painting,M1,Night,18,350.44,23.62,0.07,0.7,62.91
2022-01-13 03:00:00,Cutting,M1,Morning,17,335.89,0.7,0.096,0.74,42.01
2022-01-13 04:00:00,Cutting,M3,Morning,19,281.61,3.39,0.049,0.92,41.28
2022-01-13 05:00:00,Inspection,M3,Night,17,318.01,1.7,0.06,0.93,50.04
2022-01-13 06:00:00,Inspection,M5,Evening,19,257.82,1.57,0.082,0.71,46.27
2022-01-13 07:00:00,Packaging,M1,Night,23,303.72,1.88,0.048,0.8,20.89
2022-01-13 08:00:00,Packaging,M1,Evening,28,296.88,6.54,0.03,0.74,42.69
2022-01-13 09:00:00,Painting,M3,Morning,23,370.22,15.34,0.095,0.97,28.7
