customer_id,campaign,channel,customer_segment,budget,clicks,impressions,conversions,customer_acquisition_cost,revenue_generated,roas
23,Campaign_B,Search Ads,Loyal Customer,931.16,43,1013,1,25.18,464.24,0.5
24,Campaign_D,Email,Returning Customer,8861.44,41,1031,0,62.27,278.67,0.03
25,Campaign_D,Email,Returning Customer,2761.86,48,995,0,52.06,738.81,0.27
26,Campaign_B,Email,New Customer,2513.32,42,1027,0,46.35,1272.99,0.51
27,Campaign_B,Search Ads,New Customer,3041.2,57,1018,0,68.41,1084.48,0.36
28,Campaign_B,Search Ads,Returning Customer,5814.3,49,1002,0,47.47,1131.87,0.19
29,Campaign_D,Email,Returning Customer,5492.41,52,1030,0,45.93,900.38,0.16
30,Campaign_D,Social Media,Returning Customer,4965.0,51,995,0,68.6,1050.66,0.21
31,Campaign_A,Email,Returning Customer,7203.61,52,911,0,15.16,270.0,0.04
32,Campaign_A,Social Media,Loyal Customer,3233.72,47,958,0,48.92,828.69,0.26
33,Campaign_D,Email,Loyal Customer,7842.44,53,1041,0,27.59,855.89,0.11
34,Campaign_B,Display Ads,Loyal Customer,1835.68,49,1106,0,13.47,943.07,0.51
35,Campaign_B,Email,Returning Customer,7847.95,50,1021,0,13.12,1168.92,0.15
36,Campaign_A,Email,Loyal Customer,6671.72,45,965,0,25.09,1416.0,0.21
37,Campaign_D,Search Ads,Loyal Customer,6863.76,48,985,0,49.05,1067.58,0.16
38,Campaign_A,Social Media,New Customer,4867.38,47,1011,0,61.0,1383.85,0.28
39,Campaign_A,Display Ads,New Customer,6703.32,54,965,1,81.63,824.88,0.12
40,Campaign_C,Social Media,Loyal Customer,889.99,53,962,0,64.69,434.01,0.49
41,Campaign_C,Display Ads,Loyal Customer,8530.36,56,1055,0,56.81,987.8,0.12
42,Campaign_C,Email,Loyal Customer,649.92,51,1035,0,13.27,1471.4,2.26
43,Campaign_B,Search Ads,Returning Customer,1572.54,47,1037,0,36.81,1064.56,0.68
44,Campaign_D,Search Ads,New Customer,5810.22,42,983,0,72.3,1453.52,0.25
45,Campaign_D,Social Media,New Customer,7420.17,51,1010,1,34.35,33.59,0.0
46,Campaign_D,Search Ads,New Customer,854.89,46,1019,0,63.49,387.54,0.45
47,Campaign_D,Social Media,Loyal Customer,9215.57,64,948,0,64.35,410.41,0.04
48,Campaign_C,Social Media,Returning Customer,9738.72,42,1045,1,37.46,640.2,0.07
49,Campaign_B,Display Ads,New Customer,6098.91,51,984,0,61.44,46.18,0.01
50,Campaign_B,Social Media,New Customer,4864.31,47,976,0,20.26,1371.38,0.28
51,Campaign_C,Display Ads,Returning Customer,7439.81,52,979,0,75.43,1060.61,0.14
52,Campaign_B,Search Ads,Loyal Customer,3350.74,55,1022,1,12.03,125.92,0.04
53,Campaign_C,Social Media,Loyal Customer,4983.32,51,1060,0,13.18,262.05,0.05
54,Campaign_D,Social Media,New Customer,9169.9,46,1020,0,88.32,904.66,0.1
55,Campaign_C,Email,New Customer,9560.99,42,1021,0,62.23,1362.75,0.14
56,Campaign_D,Social Media,Returning Customer,9277.98,54,993,0,24.66,131.42,0.01
57,Campaign_D,Social Media,New Customer,2698.24,39,936,0,64.15,649.96,0.24
58,Campaign_A,Email,Returning Customer,2401.44,41,957,0,43.29,300.02,0.12
59,Campaign_C,Email,New Customer,3046.88,49,974,1,34.29,270.51,0.09
60,Campaign_A,Search Ads,New Customer,4468.98,56,983,1,83.02,1095.13,0.25
61,Campaign_C,Social Media,New Customer,3210.26,42,1011,0,52.96,1239.74,0.39
62,Campaign_C,Search Ads,Loyal Customer,3804.71,36,991,0,36.41,1381.72,0.36
63,Campaign_A,Search Ads,Returning Customer,6244.31,52,977,1,94.93,1025.98,0.16
64,Campaign_A,Email,Returning Customer,7649.0,57,967,0,24.85,98.47,0.01
65,Campaign_C,Display Ads,Loyal Customer,7382.03,57,1030,0,22.78,535.6,0.07
66,Campaign_B,Search Ads,Loyal Customer,8162.79,53,945,0,18.76,662.34,0.08
67,Campaign_D,Display Ads,Loyal Customer,418.63,44,1026,0,21.2,413.83,0.99
68,Campaign_A,Social Media,Returning Customer,572.56,45,1023,0,32.75,809.8,1.41
69,Campaign_D,Email,New Customer,7914.89,62,1015,0,72.87,348.95,0.04
70,Campaign_B,Social Media,Loyal Customer,5377.48,57,1015,1,70.47,1349.14,0.25
71,Campaign_B,Social Media,Loyal Customer,5823.59,41,1050,0,78.71,215.24,0.04
72,Campaign_B,Email,Loyal Customer,620.61,47,997,0,61.8,639.08,1.03
73,Campaign_A,Social Media,New Customer,2627.61,56,975,0,54.33,187.27,0.07
74,Campaign_B,Email,New Customer,6419.71,42,1047,1,48.87,537.38,0.08
75,Campaign_A,Display Ads,Loyal Customer,8605.9,56,963,1,88.72,727.18,0.08
76,Campaign_B,Social Media,New Customer,9178.14,44,981,1,40.92,830.85,0.09
77,Campaign_D,Email,Loyal Customer,5054.15,62,967,1,90.24,497.23,0.1
78,Campaign_D,Search Ads,New Customer,5500.19,55,1007,1,34.8,1214.45,0.22
79,Campaign_C,Social Media,Returning Customer,8347.19,46,1003,1,24.16,773.12,0.09
80,Campaign_D,Display Ads,Returning Customer,5422.48,50,967,0,32.96,1488.63,0.27
81,Campaign_C,Email,New Customer,5216.9,48,1014,0,54.91,185.29,0.04
82,Campaign_D,Social Media,Returning Customer,9060.33,43,1016,1,93.33,275.32,0.03
83,Campaign_A,Social Media,Returning Customer,7920.33,56,1008,0,25.96,1202.69,0.15
84,Campaign_D,Social Media,Returning Customer,9099.82,46,1018,1,62.19,831.4,0.09
85,Campaign_C,Display Ads,Loyal Customer,2260.65,56,1043,0,29.59,540.04,0.24
86,Campaign_C,Email,New Customer,5291.32,44,987,0,70.99,615.67,0.12
87,Campaign_B,Search Ads,New Customer,8440.47,54,973,1,51.85,845.68,0.1
88,Campaign_A,Search Ads,New Customer,1200.36,52,1041,0,76.02,128.67,0.11
89,Campaign_D,Search Ads,Returning Customer,7967.16,48,1014,0,87.05,1147.69,0.14
90,Campaign_B,Email,Loyal Customer,1911.44,52,1009,0,40.13,673.71,0.35
91,Campaign_D,Search Ads,New Customer,8100.38,34,981,0,94.44,618.77,0.08
92,Campaign_D,Display Ads,Returning Customer,6158.81,53,1005,0,52.16,1159.79,0.19
93,Campaign_B,Email,Loyal Customer,2013.04,53,980,0,94.3,853.79,0.42
94,Campaign_B,Social Media,Loyal Customer,4786.21,41,976,1,30.76,1131.23,0.24
95,Campaign_B,Display Ads,New Customer,6850.86,52,1056,0,90.74,1392.95,0.2
96,Campaign_B,Social Media,New Customer,6375.14,53,983,0,40.03,1418.76,0.22
97,Campaign_B,Search Ads,Returning Customer,4329.75,44,971,0,77.57,643.9,0.15
98,Campaign_D,Display Ads,New Customer,9003.73,51,1026,0,97.14,104.27,0.01
99,Campaign_B,Email,Returning Customer,5240.71,49,939,1,92.09,18.74,0.0
100,Campaign_A,Display Ads,Loyal Customer,5108.09,48,977,0,51.73,1057.85,0.21
101,Campaign_C,Social Media,Loyal Customer,716.28,30,1014,0,41.04,122.32,0.17
102,Campaign_B,Email,Loyal Customer,9228.99,38,1044,1,65.14,585.29,0.06
103,Campaign_B,Display Ads,Loyal Customer,1853.45,47,1039,0,73.52,993.4,0.54
104,Campaign_D,Display Ads,New Customer,5330.61,55,995,0,58.62,1497.58,0.28
105,Campaign_B,Display Ads,New Customer,8055.32,44,1015,0,86.36,334.6,0.04
106,Campaign_B,Display Ads,Returning Customer,2232.99,46,1001,1,15.24,14.56,0.01
107,Campaign_B,Email,Returning Customer,5321.0,46,1048,0,63.97,61.88,0.01
108,Campaign_D,Social Media,Returning Customer,2482.78,51,1031,0,57.27,334.96,0.13
109,Campaign_B,Display Ads,Returning Customer,7620.98,51,1026,1,13.54,1489.51,0.2
110,Campaign_C,Email,Returning Customer,5686.98,51,1026,0,11.14,115.68,0.02
111,Campaign_D,Social Media,Loyal Customer,8574.16,57,999,0,64.55,1123.9,0.13
112,Campaign_C,Display Ads,Loyal Customer,8956.12,57,1002,0,20.62,224.9,0.03
113,Campaign_D,Social Media,Loyal Customer,6522.46,45,1025,0,79.17,305.65,0.05
114,Campaign_B,Social Media,Returning Customer,7281.37,50,999,0,95.43,128.89,0.02
115,Campaign_C,Email,Loyal Customer,5537.28,48,1014,0,25.97,342.17,0.06
116,Campaign_D,Social Media,Loyal Customer,3905.84,45,984,0,81.87,173.29,0.04
117,Campaign_A,Email,Loyal Customer,6516.37,59,966,0,63.23,26.12,0.0
118,Campaign_B,Display Ads,Loyal Customer,9092.06,51,1012,0,50.31,1197.97,0.13
119,Campaign_D,Social Media,New Customer,4225.14,38,1004,1,68.53,285.74,0.07
120,Campaign_A,Social Media,Returning Customer,3212.66,55,988,0,82.21,177.91,0.06
121,Campaign_D,Search Ads,Returning Customer,3945.53,49,1019,0,97.36,408.3,0.1
122,Campaign_A,Display Ads,New Customer,4410.44,42,1011,1,69.44,1130.66,0.26
123,Campaign_B,Display Ads,Loyal Customer,828.25,41,973,0,77.22,337.18,0.41
124,Campaign_C,Search Ads,Loyal Customer,5034.57,44,989,0,64.68,812.86,0.16
125,Campaign_A,Search Ads,Loyal Customer,4993.71,53,1000,0,60.85,325.55,0.07
126,Campaign_D,Email,Returning Customer,5925.59,33,1018,0,15.83,580.64,0.1
127,Campaign_B,Email,Returning Customer,3691.92,51,932,0,23.96,782.0,0.21
128,Campaign_A,Social Media,Returning Customer,6169.77,44,1014,0,44.13,1136.73,0.18
129,Campaign_D,Social Media,Returning Customer,8794.34,50,1022,1,68.46,422.54,0.05
130,Campaign_D,Social Media,Returning Customer,9559.16,49,1048,0,16.82,669.72,0.07
131,Campaign_D,Social Media,New Customer,5877.76,41,1002,0,58.99,964.37,0.16
132,Campaign_A,Email,Returning Customer,521.65,46,1035,0,11.19,412.86,0.79
133,Campaign_A,Display Ads,Loyal Customer,9695.44,63,958,1,78.95,330.05,0.03
134,Campaign_A,Social Media,Returning Customer,7088.03,43,1006,0,70.02,853.36,0.12
135,Campaign_C,Display Ads,New Customer,3426.04,56,1008,0,56.86,1428.59,0.42
136,Campaign_A,Social Media,Loyal Customer,1556.86,52,977,1,61.4,1365.12,0.88
137,Campaign_A,Search Ads,New Customer,1519.84,53,1020,0,93.95,900.54,0.59
138,Campaign_A,Social Media,Loyal Customer,1760.67,47,997,0,91.6,632.99,0.36
139,Campaign_C,Social Media,Returning Customer,551.17,39,975,0,81.35,848.72,1.54
140,Campaign_A,Social Media,New Customer,9031.33,53,932,0,40.26,1202.99,0.13
141,Campaign_D,Email,Loyal Customer,5453.61,53,999,1,19.65,139.27,0.03
142,Campaign_A,Search Ads,Returning Customer,7029.6,59,1062,1,38.93,1171.78,0.17
143,Campaign_D,Social Media,Loyal Customer,8298.27,47,995,0,77.68,987.03,0.12
144,Campaign_D,Social Media,New Customer,7936.26,50,1032,1,64.99,403.56,0.05
145,Campaign_D,Display Ads,New Customer,8837.8,44,1004,1,73.5,1314.06,0.15
146,Campaign_C,Search Ads,New Customer,9675.82,59,1080,0,19.48,119.91,0.01
147,Campaign_C,Social Media,New Customer,4446.8,61,1014,1,24.26,1378.03,0.31
148,Campaign_C,Display Ads,Returning Customer,9508.32,50,994,0,69.79,581.88,0.06
149,Campaign_A,Display Ads,Loyal Customer,7260.57,61,955,1,43.46,1215.48,0.17
150,Campaign_D,Email,Returning Customer,799.62,62,998,0,43.23,231.68,0.29
151,Campaign_C,Display Ads,New Customer,6849.65,43,956,0,45.34,851.3,0.12
152,Campaign_C,Social Media,Loyal Customer,6898.49,50,1048,0,81.63,50.17,0.01
153,Campaign_A,Email,New Customer,9068.02,63,984,1,72.91,418.1,0.05
154,Campaign_C,Email,Returning Customer,3792.03,42,992,0,19.54,1244.48,0.33
155,Campaign_A,Social Media,Returning Customer,5890.62,48,991,0,40.99,681.53,0.12
156,Campaign_B,Search Ads,Returning Customer,220.66,45,1002,0,70.64,989.25,4.48
157,Campaign_C,Display Ads,Loyal Customer,3387.54,57,984,0,97.85,1210.83,0.36
158,Campaign_B,Email,Loyal Customer,716.21,59,1027,0,92.1,795.5,1.11
159,Campaign_A,Search Ads,New Customer,5266.54,48,1003,0,32.34,878.74,0.17
160,Campaign_D,Social Media,Loyal Customer,8192.73,40,977,0,15.94,1149.51,0.14
161,Campaign_C,Display Ads,Loyal Customer,2143.78,49,975,0,61.59,180.67,0.08
162,Campaign_A,Display Ads,Returning Customer,5321.67,46,1029,0,46.56,107.33,0.02
163,Campaign_D,Email,New Customer,2119.69,45,989,0,26.51,932.88,0.44
164,Campaign_D,Display Ads,Returning Customer,1294.82,51,981,0,68.65,1462.6,1.13
165,Campaign_B,Display Ads,New Customer,5158.87,55,943,1,24.43,967.13,0.19
166,Campaign_A,Display Ads,New Customer,883.57,52,960,0,41.63,1057.65,1.2
167,Campaign_D,Display Ads,Loyal Customer,5914.81,48,1002,0,81.51,987.83,0.17
168,Campaign_C,Social Media,Returning Customer,410.24,55,968,0,71.59,908.54,2.21
169,Campaign_C,Search Ads,Loyal Customer,1156.48,43,976,0,64.64,296.43,0.26
170,Campaign_B,Social Media,Loyal Customer,5544.98,49,1009,0,93.77,1260.41,0.23
171,Campaign_D,Social Media,Loyal Customer,5954.93,49,1033,0,21.29,864.62,0.15
172,Campaign_A,Email,New Customer,386.97,47,1019,0,72.19,1467.55,3.79
173,Campaign_C,Display Ads,Returning Customer,5776.43,46,1014,1,20.56,103.62,0.02
174,Campaign_D,Social Media,Returning Customer,8401.18,52,968,0,22.27,447.73,0.05
175,Campaign_D,Display Ads,Loyal Customer,7250.93,55,950,0,55.58,149.04,0.02
176,Campaign_B,Social Media,New Customer,1398.73,57,995,1,12.17,1288.74,0.92
177,Campaign_C,Social Media,Returning Customer,5965.5,50,992,0,55.09,1226.81,0.21
178,Campaign_C,Email,Returning Customer,6755.3,44,995,0,10.85,1159.59,0.17
179,Campaign_A,Search Ads,Loyal Customer,468.59,53,1026,0,64.22,1017.91,2.17
180,Campaign_C,Search Ads,New Customer,8567.94,49,1012,0,38.08,159.9,0.02
181,Campaign_A,Social Media,Loyal Customer,9072.05,45,1005,0,17.49,608.92,0.07
182,Campaign_C,Email,Returning Customer,8519.48,35,1045,1,80.28,1056.76,0.12
183,Campaign_B,Display Ads,New Customer,8263.85,56,999,0,45.09,541.26,0.07
184,Campaign_C,Display Ads,Loyal Customer,7475.16,45,1036,1,49.96,1076.76,0.14
185,Campaign_A,Social Media,Returning Customer,6370.98,59,998,0,43.7,428.09,0.07
186,Campaign_A,Search Ads,Loyal Customer,6818.41,40,986,0,17.53,815.31,0.12
187,Campaign_B,Email,Loyal Customer,8083.31,49,988,0,51.39,531.8,0.07
188,Campaign_C,Search Ads,Loyal Customer,6658.73,58,1013,1,69.89,1382.25,0.21
189,Campaign_C,Display Ads,New Customer,3344.5,36,988,0,91.3,663.59,0.2
190,Campaign_B,Search Ads,Returning Customer,3822.01,44,1023,0,78.74,430.01,0.11
191,Campaign_C,Display Ads,Returning Customer,8980.87,53,1003,0,17.14,85.52,0.01
192,Campaign_C,Email,Returning Customer,269.51,50,1003,0,24.92,218.18,0.81
193,Campaign_A,Email,Returning Customer,7018.32,56,1020,0,14.03,847.36,0.12
194,Campaign_C,Social Media,New Customer,9552.3,63,1049,0,20.75,1051.71,0.11
195,Campaign_C,Social Media,Loyal Customer,7091.66,61,1010,0,53.25,1431.55,0.2
196,Campaign_B,Search Ads,Returning Customer,9939.73,48,993,0,29.78,895.2,0.09
197,Campaign_B,Email,New Customer,6906.69,46,1019,0,68.31,1021.15,0.15
198,Campaign_D,Email,Loyal Customer,440.19,44,1036,0,12.91,929.71,2.11
199,Campaign_A,Social Media,New Customer,8287.4,51,1010,0,87.15,1353.72,0.16
200,Campaign_C,Display Ads,New Customer,2917.84,64,982,0,70.99,453.66,0.16
201,Campaign_C,Search Ads,Returning Customer,4515.97,56,970,1,97.22,904.83,0.2
202,Campaign_D,Search Ads,Returning Customer,3189.71,58,1031,0,95.75,1439.68,0.45
203,Campaign_C,Social Media,Loyal Customer,2758.69,54,977,0,72.36,10.69,0.0
204,Campaign_A,Email,Loyal Customer,4370.92,49,1020,0,24.22,406.47,0.09
205,Campaign_D,Social Media,Returning Customer,3849.64,51,982,1,29.99,1138.18,0.3
206,Campaign_A,Social Media,New Customer,6370.05,49,1024,1,34.98,704.87,0.11
207,Campaign_D,Social Media,Returning Customer,8150.2,51,915,0,48.4,252.57,0.03
208,Campaign_D,Social Media,Loyal Customer,3041.18,67,1045,0,61.38,857.48,0.28
209,Campaign_B,Display Ads,New Customer,2215.84,60,996,0,71.43,772.6,0.35
210,Campaign_A,Display Ads,New Customer,6702.26,53,1002,0,16.81,681.18,0.1
211,Campaign_C,Email,New Customer,6736.17,41,1007,0,64.95,512.62,0.08
212,Campaign_C,Social Media,Returning Customer,9021.2,48,936,0,15.33,78.81,0.01
213,Campaign_A,Display Ads,Returning Customer,257.86,51,1020,0,84.43,906.18,3.51
214,Campaign_C,Email,Loyal Customer,8545.1,73,1051,0,13.64,775.89,0.09
215,Campaign_C,Social Media,New Customer,5257.92,48,1015,0,45.1,878.04,0.17
216,Campaign_A,Search Ads,New Customer,6250.89,46,1034,0,47.8,3.66,0.0
217,Campaign_D,Display Ads,Returning Customer,1004.58,56,1019,0,61.33,124.03,0.12
218,Campaign_A,Email,Loyal Customer,4382.89,49,997,0,18.59,251.55,0.06
219,Campaign_D,Search Ads,Loyal Customer,2350.29,49,978,0,93.98,672.66,0.29
220,Campaign_C,Social Media,New Customer,2616.83,56,1007,0,44.49,1211.85,0.46
221,Campaign_C,Social Media,Returning Customer,5090.54,66,989,0,45.66,368.77,0.07
222,Campaign_C,Social Media,New Customer,8143.31,38,1011,1,31.88,1212.51,0.15
223,Campaign_B,Display Ads,Returning Customer,7463.43,37,964,0,80.26,352.88,0.05
224,Campaign_D,Email,Loyal Customer,5950.9,45,1044,0,10.7,1123.56,0.19
225,Campaign_B,Search Ads,New Customer,5440.24,49,1077,0,19.56,1311.35,0.24
226,Campaign_B,Email,New Customer,4330.33,46,1039,0,52.37,1224.7,0.28
227,Campaign_A,Display Ads,New Customer,9729.83,65,994,0,97.15,1107.57,0.11
228,Campaign_B,Email,Loyal Customer,5645.91,52,1040,0,13.2,57.66,0.01
229,Campaign_A,Display Ads,New Customer,2614.27,56,966,1,15.58,495.23,0.19
230,Campaign_A,Social Media,Loyal Customer,2377.9,49,1007,1,74.34,294.77,0.12
231,Campaign_B,Search Ads,Returning Customer,6152.4,48,997,0,76.19,711.88,0.12
232,Campaign_D,Social Media,Loyal Customer,5275.99,54,996,0,90.72,531.43,0.1
233,Campaign_D,Email,Returning Customer,176.21,62,993,0,61.9,926.7,5.26
234,Campaign_D,Social Media,Loyal Customer,8317.65,52,971,0,46.32,848.62,0.1
235,Campaign_D,Search Ads,Loyal Customer,7070.81,37,973,0,50.6,646.28,0.09
236,Campaign_D,Social Media,New Customer,6652.11,49,979,0,48.84,1151.12,0.17
237,Campaign_B,Search Ads,Loyal Customer,780.93,42,965,0,97.62,22.21,0.03
238,Campaign_B,Search Ads,New Customer,3684.35,53,959,0,44.21,1298.64,0.35
239,Campaign_C,Social Media,Returning Customer,9360.28,50,991,0,18.65,4.43,0.0
240,Campaign_D,Display Ads,Returning Customer,8639.63,44,1001,0,36.07,678.02,0.08
241,Campaign_B,Email,New Customer,2926.88,53,993,0,96.41,1322.02,0.45
242,Campaign_C,Display Ads,Returning Customer,1654.88,33,1043,0,48.54,627.0,0.38
243,Campaign_D,Display Ads,Loyal Customer,4545.97,46,1014,1,38.45,1133.51,0.25
244,Campaign_A,Social Media,New Customer,3622.72,36,1012,0,37.97,604.39,0.17
245,Campaign_C,Email,New Customer,6854.04,46,999,0,10.82,1276.39,0.19
246,Campaign_B,Email,New Customer,9667.7,64,1023,1,66.98,1498.85,0.16
247,Campaign_A,Display Ads,Returning Customer,3693.71,50,1034,1,75.18,1347.44,0.36
248,Campaign_A,Social Media,Returning Customer,716.02,41,983,0,41.77,83.62,0.12
249,Campaign_A,Email,Loyal Customer,8986.38,48,999,0,88.55,222.38,0.02
250,Campaign_C,Display Ads,Loyal Customer,475.7,38,1000,1,76.86,812.78,1.71
251,Campaign_B,Email,New Customer,9532.38,42,1062,0,64.08,1442.4,0.15
252,Campaign_A,Social Media,Loyal Customer,6679.34,52,990,0,73.34,609.49,0.09
253,Campaign_D,Social Media,Returning Customer,9422.72,48,953,1,79.25,415.56,0.04
254,Campaign_A,Social Media,Loyal Customer,2076.63,55,1027,0,57.43,1447.47,0.7
255,Campaign_A,Email,Returning Customer,502.93,47,1044,0,45.8,1063.18,2.11
256,Campaign_C,Search Ads,Loyal Customer,4933.28,52,1029,0,21.31,1155.65,0.23
257,Campaign_C,Email,Returning Customer,4561.17,46,971,0,46.45,166.11,0.04
258,Campaign_B,Search Ads,Returning Customer,3381.77,43,1036,0,59.51,393.84,0.12
259,Campaign_D,Social Media,Loyal Customer,9580.8,46,999,0,95.31,755.44,0.08
260,Campaign_C,Display Ads,Loyal Customer,8243.58,46,1007,0,23.94,1104.66,0.13
261,Campaign_A,Search Ads,Returning Customer,6649.66,62,1003,0,78.13,520.93,0.08
262,Campaign_B,Social Media,New Customer,1712.3,56,983,0,31.66,306.4,0.18
263,Campaign_A,Social Media,Loyal Customer,7369.8,57,1017,0,96.13,655.73,0.09
264,Campaign_A,Search Ads,Returning Customer,7297.42,38,1056,0,63.53,636.45,0.09
265,Campaign_C,Display Ads,Loyal Customer,4308.17,60,1059,0,48.95,1309.45,0.3
266,Campaign_B,Social Media,Loyal Customer,9255.38,51,993,0,41.21,1400.65,0.15
267,Campaign_D,Search Ads,Loyal Customer,1753.08,45,958,0,28.18,253.22,0.14
268,Campaign_D,Display Ads,Loyal Customer,2746.64,54,966,0,74.3,419.24,0.15
269,Campaign_C,Display Ads,Loyal Customer,725.92,59,1058,0,67.24,1179.04,1.62
270,Campaign_C,Social Media,New Customer,7974.96,40,1028,0,90.11,367.57,0.05
271,Campaign_B,Email,New Customer,6255.42,67,1061,1,63.76,396.97,0.06
272,Campaign_D,Email,New Customer,3217.91,54,987,0,25.28,1014.96,0.32
273,Campaign_D,Social Media,Returning Customer,1721.76,41,1061,0,71.46,766.25,0.45
274,Campaign_D,Display Ads,New Customer,497.46,62,1064,0,89.09,1055.41,2.12
275,Campaign_A,Social Media,New Customer,1750.78,46,938,0,99.14,108.88,0.06
276,Campaign_D,Search Ads,Returning Customer,4587.52,50,1048,0,71.66,756.31,0.16
277,Campaign_A,Email,New Customer,2547.05,60,1010,0,36.06,1009.27,0.4
278,Campaign_B,Search Ads,Loyal Customer,2663.92,54,1017,1,60.88,711.61,0.27
279,Campaign_A,Social Media,New Customer,8768.21,50,982,0,56.35,191.72,0.02
280,Campaign_B,Social Media,New Customer,5199.86,37,1027,0,56.08,200.83,0.04
281,Campaign_D,Display Ads,New Customer,7319.59,44,986,0,17.08,882.0,0.12
282,Campaign_D,Display Ads,Loyal Customer,453.54,55,1057,0,27.51,216.07,0.48
283,Campaign_B,Display Ads,Loyal Customer,3715.12,50,1019,0,57.17,455.65,0.12
284,Campaign_C,Search Ads,Loyal Customer,4843.78,51,1036,0,81.84,661.77,0.14
285,Campaign_B,Display Ads,Loyal Customer,1945.53,50,995,0,26.36,889.97,0.46
286,Campaign_C,Social Media,Returning Customer,1289.9,52,975,0,24.79,397.97,0.31
287,Campaign_A,Display Ads,Loyal Customer,8716.01,46,1013,0,78.39,607.87,0.07
288,Campaign_A,Email,Loyal Customer,9400.37,45,999,0,72.15,551.74,0.06
289,Campaign_A,Display Ads,Loyal Customer,880.19,45,1004,0,53.66,145.6,0.17
290,Campaign_D,Search Ads,Loyal Customer,3555.29,54,984,0,14.53,1205.64,0.34
291,Campaign_A,Email,Returning Customer,9587.03,42,1042,1,52.54,1113.58,0.12
292,Campaign_C,Email,New Customer,923.3,54,943,0,85.14,1176.19,1.27
293,Campaign_A,Email,New Customer,6472.05,36,1047,0,10.96,220.99,0.03
294,Campaign_B,Search Ads,Loyal Customer,9724.99,47,1012,0,19.23,776.32,0.08
295,Campaign_B,Social Media,Loyal Customer,9784.41,33,1013,1,82.84,495.39,0.05
296,Campaign_D,Display Ads,Loyal Customer,4765.11,67,979,0,57.26,522.75,0.11
297,Campaign_B,Email,New Customer,1711.22,50,996,0,69.6,98.71,0.06
298,Campaign_C,Email,New Customer,2100.63,52,1044,0,77.05,1418.76,0.68
299,Campaign_A,Email,Loyal Customer,8907.05,45,1019,1,37.02,1409.55,0.16
300,Campaign_D,Social Media,New Customer,9125.66,41,1000,0,36.81,612.48,0.07
301,Campaign_A,Social Media,Returning Customer,6118.01,30,1014,0,33.76,1281.64,0.21
302,Campaign_A,Search Ads,Loyal Customer,7685.15,37,1000,0,25.05,495.16,0.06
303,Campaign_C,Social Media,Loyal Customer,7425.32,58,995,0,37.43,839.13,0.11
304,Campaign_B,Display Ads,Returning Customer,6652.03,58,1005,0,95.75,1116.91,0.17
305,Campaign_B,Search Ads,Returning Customer,8290.04,50,976,0,17.74,784.6,0.09
306,Campaign_A,Search Ads,New Customer,6885.53,62,960,0,31.66,245.71,0.04
307,Campaign_D,Display Ads,Returning Customer,5386.62,54,1037,1,38.62,568.55,0.11
308,Campaign_B,Display Ads,Loyal Customer,2445.87,49,1016,0,23.84,1139.26,0.47
309,Campaign_D,Display Ads,New Customer,7464.49,48,979,0,16.97,1171.29,0.16
310,Campaign_B,Search Ads,Returning Customer,4787.03,46,1017,0,24.57,506.87,0.11
311,Campaign_D,Search Ads,New Customer,3018.44,46,1046,0,57.5,810.71,0.27
312,Campaign_C,Search Ads,New Customer,8039.27,61,975,1,63.71,310.68,0.04
