date,department,region,employees,operational_cost,marketing_spend,customer_satisfaction,new_customers,customer_retention_rate,sales_volume,revenue
2023-12-01,Sales,North,79,47962.52,37872.26,4.15,47,0.72,203509.85,180927.69
2021-04-01,Sales,Central,73,70471.55,31204.2,3.63,42,0.71,187782.81,169134.86
2021-02-01,Operations,South,15,51595.47,22626.48,3.55,56,0.6,254802.5,261026.55
2021-06-01,Sales,West,87,52466.22,15728.89,4.8,51,0.68,159000.16,160792.23
2021-04-01,Finance,North,30,42844.96,37733.98,4.67,54,0.84,189170.97,191625.85
2023-05-01,Sales,South,30,54249.88,20051.48,3.02,59,0.75,234539.78,224698.8
2022-06-01,Marketing,Central,21,49503.72,36760.72,3.36,43,0.82,265455.69,250108.57
2023-02-01,Operations,Central,99,48742.95,28690.67,4.44,35,0.68,227851.7,218351.17
2023-10-01,Marketing,West,87,60606.01,29574.39,4.7,47,0.81,178796.4,165469.84
2021-10-01,Customer Support,Central,48,35877.48,47505.03,4.44,49,0.69,188811.05,170553.04
2023-12-01,Marketing,Central,88,68997.22,9016.57,4.05,54,0.85,194039.51,177196.47
2022-02-01,Finance,South,27,9565.06,21214.84,4.97,51,0.65,222745.16,208551.71
2023-07-01,Finance,South,29,48603.65,45989.91,4.59,42,0.7,157201.26,141335.81
2022-03-01,Marketing,West,96,70380.82,39348.23,3.94,62,0.67,185122.63,169253.89
2021-08-01,Customer Support,North,41,68101.02,27587.56,4.17,38,0.61,190511.8,176285.98
2022-02-01,Sales,West,80,52375.59,48670.44,3.09,42,0.92,263976.58,279154.74
2022-11-01,Finance,East,69,37851.21,40037.48,4.93,64,0.63,244354.98,259019.69
2022-09-01,Marketing,Central,6,47998.94,24770.96,3.73,49,0.75,173239.3,170174.6
2022-04-01,Marketing,North,78,88872.16,19268.92,4.32,53,0.72,222556.23,219535.52
2022-06-01,Marketing,South,36,60631.43,43992.57,4.33,56,0.66,237307.48,215168.09
2022-12-01,Sales,East,93,24491.72,21866.4,3.11,53,0.76,113685.91,115945.58
2023-02-01,Operations,East,78,51243.71,32497.81,3.53,40,0.78,167795.64,171994.94
2023-01-01,Customer Support,Central,59,41020.92,44968.18,4.31,59,0.69,341060.62,315191.22
2023-05-01,Operations,South,54,30951.02,31805.07,4.82,48,0.78,236173.95,249667.86
2022-03-01,Customer Support,North,69,57239.72,30102.93,4.56,48,0.82,278920.56,270816.01
2021-01-01,Customer Support,South,36,35445.38,13298.54,4.16,37,0.78,221323.77,207516.28
2023-01-01,Marketing,Central,41,73224.72,39972.56,3.46,51,0.91,208673.98,179849.71
2021-07-01,Finance,East,80,70116.17,11831.77,4.9,47,0.65,174289.19,184574.56
2021-09-01,Marketing,Central,86,39055.79,43526.75,3.81,50,0.89,293116.49,270659.56
2022-12-01,Sales,West,98,38117.48,13165.75,3.3,44,0.65,226639.57,239362.19
2021-01-01,Customer Support,East,17,60098.92,21714.0,3.04,52,0.75,229264.9,225075.17
2021-08-01,Finance,Central,58,65266.45,41683.57,4.9,51,0.65,280108.72,296450.83
2022-12-01,Customer Support,North,7,46225.2,44473.35,4.56,38,0.81,179281.3,185487.36
2021-11-01,Customer Support,North,89,64676.83,30945.41,3.43,60,0.72,192690.79,176149.07
2022-05-01,Marketing,North,46,74966.74,26387.21,3.28,57,0.76,249016.59,264775.42
2021-08-01,Finance,West,82,54948.63,31532.23,4.92,54,0.66,174358.39,166739.04
2023-11-01,Finance,South,44,34564.69,10360.76,3.48,37,0.77,136658.06,144466.23
2023-11-01,Customer Support,North,78,61782.76,40919.47,3.92,41,0.86,231402.03,245426.77
2023-09-01,Finance,West,70,52147.73,23796.41,4.22,54,0.93,228119.86,216072.54
2021-05-01,Finance,North,64,45176.68,27458.55,3.12,65,0.7,168883.67,175029.17
2023-04-01,Marketing,West,15,61275.65,30850.47,3.69,43,0.75,205719.34,184895.63
2021-07-01,Operations,North,5,68105.96,32774.79,4.89,52,0.87,205110.81,202240.3
2021-09-01,Sales,South,30,52790.17,34464.82,4.4,66,0.8,183959.58,177764.78
2021-08-01,Operations,Central,46,15812.87,42254.71,3.74,61,0.86,209158.77,204364.48
2021-12-01,Finance,North,66,51797.22,42704.2,4.58,50,0.87,280606.8,252804.27
2023-10-01,Customer Support,Central,65,53404.44,29697.21,4.67,40,0.86,199900.09,181467.28
2023-09-01,Sales,North,81,88788.68,37349.92,3.3,46,0.93,312524.16,326656.86
2022-11-01,Sales,South,96,51944.32,38701.24,4.17,37,0.86,203409.85,201849.13
2022-12-01,Customer Support,Central,89,47430.22,12619.65,3.73,49,0.64,166830.92,153132.53
2023-11-01,Sales,West,66,60347.19,25621.46,4.01,49,0.88,303205.33,296223.72
2022-10-01,Customer Support,North,78,45497.8,20936.53,3.94,63,0.63,156768.82,163173.4
2023-03-01,Sales,North,16,39708.1,30262.49,4.01,55,0.74,102022.09,106777.87
2023-11-01,Operations,West,31,26083.81,42556.31,4.04,49,0.72,242175.95,253001.14
2021-01-01,Sales,South,71,41067.11,37789.23,3.14,59,0.65,326029.14,300856.72
2023-11-01,Marketing,East,32,21383.07,38199.23,3.36,47,0.64,178568.87,193715.5
2022-02-01,Customer Support,North,70,54248.71,26052.74,4.13,53,0.7,206702.03,202554.33
2021-03-01,Sales,West,32,53237.53,26085.08,4.87,50,0.84,161729.26,164660.93
2021-01-01,Customer Support,East,99,60446.29,23966.61,4.49,52,0.67,196437.39,183092.21
2021-05-01,Marketing,North,25,34533.47,21040.31,3.48,50,0.94,159022.88,162820.86
2023-02-01,Sales,Central,11,28419.34,35763.29,3.72,40,0.6,245054.89,244855.86
2022-02-01,Sales,West,99,80861.96,24511.36,3.67,54,0.8,264418.83,238947.01
2023-03-01,Marketing,Central,18,48820.49,16994.87,4.54,49,0.8,135585.07,144369.54
2021-09-01,Marketing,South,43,60497.15,32875.18,4.94,48,0.7,264066.03,265661.21
2022-03-01,Marketing,East,77,51993.66,30673.88,3.71,41,0.81,157223.87,146354.34
2022-03-01,Customer Support,West,91,61174.16,32971.21,3.03,46,0.8,217915.72,214719.44
2023-02-01,Marketing,North,66,53420.56,44467.6,4.87,59,0.84,247369.32,261237.18
2022-01-01,Customer Support,North,16,37969.8,30240.06,4.51,55,0.91,191238.37,192720.46
2023-08-01,Operations,East,97,58127.33,23576.43,4.67,30,0.64,140292.97,131693.62
2023-08-01,Sales,Central,42,54558.99,23504.72,3.42,54,0.89,154162.7,154245.38
2021-04-01,Sales,Central,62,24765.1,20386.43,4.29,56,0.61,246841.68,241843.12
2023-06-01,Finance,West,60,54418.06,22343.83,3.47,42,0.62,255509.37,252672.28
2022-11-01,Operations,West,43,44193.31,17496.37,3.02,53,0.92,121284.98,117261.01
2022-03-01,Marketing,Central,90,39998.61,31186.83,3.31,39,0.85,274183.73,255182.96
2023-05-01,Marketing,West,8,64630.14,23238.71,4.85,36,0.82,163342.96,145890.54
2023-12-01,Operations,Central,52,48922.16,31283.75,3.43,50,0.78,174079.62,169078.87
2022-01-01,Marketing,East,11,49378.7,26368.62,4.17,61,0.87,222784.01,208151.28
2023-08-01,Finance,West,64,51338.74,28941.41,4.94,69,0.86,92795.93,93391.59
2021-07-01,Customer Support,Central,44,49514.64,47531.97,3.15,52,0.72,214310.39,225735.11
2022-10-01,Sales,West,12,48533.6,41443.61,4.62,42,0.77,194455.74,187761.98
2023-04-01,Operations,North,62,71841.25,14606.66,4.2,50,0.77,230663.69,241348.69
2021-02-01,Sales,North,61,39736.33,23903.92,3.65,47,0.75,194902.65,209858.23
2021-06-01,Customer Support,South,39,23948.07,11019.94,3.73,49,0.84,253337.66,261092.8
2023-04-01,Operations,Central,77,50670.06,25978.08,3.05,46,0.88,158902.87,156498.57
2023-04-01,Customer Support,South,17,35908.73,33323.14,3.51,55,0.93,231192.75,239075.27
2022-08-01,Marketing,Central,43,33548.73,40730.74,3.85,41,0.74,186784.14,170494.38
2023-06-01,Marketing,West,88,49763.99,40231.59,4.43,51,0.84,115247.1,113330.29
2021-11-01,Marketing,Central,25,54120.17,33179.21,3.55,58,0.8,167239.92,164408.91
2023-04-01,Customer Support,North,51,47394.86,20672.68,4.16,40,0.66,206420.19,191770.96
2023-01-01,Customer Support,West,87,43149.04,38445.56,4.46,54,0.71,197263.72,202709.64
2023-09-01,Customer Support,North,6,46992.47,30488.51,4.4,45,0.9,170672.15,177427.4
2021-01-01,Sales,West,48,49235.96,31897.45,4.18,52,0.88,158561.62,146199.81
2023-03-01,Customer Support,Central,34,49959.78,49525.31,4.16,57,0.9,202320.92,178208.24
2022-01-01,Marketing,Central,91,23116.73,20558.49,4.44,43,0.61,275477.9,278714.81
2021-03-01,Finance,North,59,63108.38,50742.22,3.67,52,0.95,193400.41,171949.7
2021-06-01,Customer Support,East,44,28135.89,47983.41,3.9,56,0.8,138404.21,124499.02
2021-08-01,Finance,Central,81,39933.76,30679.99,4.93,46,0.78,335941.37,328877.25
2023-03-01,Marketing,East,96,26686.94,31934.12,4.34,57,0.86,89358.41,91941.79
2021-09-01,Customer Support,West,28,52509.04,22929.07,4.04,52,0.65,290149.01,301247.5
2023-09-01,Sales,East,46,39341.15,31901.88,4.16,48,0.68,207713.13,199986.56
2022-12-01,Sales,North,32,47242.63,30934.48,3.21,54,0.93,186106.69,171494.69
2022-03-01,Finance,South,98,38856.66,23113.47,4.18,48,0.67,180418.43,173107.36
2023-08-01,Sales,South,97,34188.4,22851.78,4.67,56,0.72,189532.71,190707.24
2023-08-01,Sales,North,55,12350.1,27610.43,4.05,49,0.69,192107.87,202412.74
2022-12-01,Sales,South,26,41128.52,29907.9,3.35,50,0.77,290038.62,295068.69
2021-12-01,Marketing,North,93,31848.68,12874.26,3.9,48,0.88,143282.92,145156.19
2021-02-01,Sales,Central,82,57793.82,41271.88,3.56,47,0.89,191619.2,174822.07
2021-03-01,Operations,East,78,81213.56,25024.69,3.72,51,0.71,194178.34,186668.5
2022-05-01,Customer Support,South,78,77448.89,26994.68,3.45,57,0.63,198006.87,196440.82
2021-02-01,Sales,Central,12,48783.08,31775.68,3.67,53,0.64,290500.28,309458.3
2021-02-01,Sales,South,18,38133.54,27327.62,4.64,49,0.89,190139.87,170412.34
2023-04-01,Sales,West,49,20752.26,41393.63,4.52,53,0.75,155879.75,160012.01
2022-11-01,Operations,North,42,43718.48,27157.18,3.98,65,0.89,301372.02,307725.46
2023-08-01,Sales,North,36,36317.6,24167.21,4.57,56,0.6,171000.65,161676.92
2023-09-01,Sales,Central,66,38940.94,36199.68,4.95,44,0.61,202964.39,203321.94
2021-01-01,Customer Support,West,71,25517.36,37601.02,3.81,60,0.71,164723.66,173695.53
2022-07-01,Operations,East,88,60541.23,55032.16,4.96,39,0.67,184062.83,187522.3
2021-02-01,Operations,West,65,57638.4,11045.49,3.49,40,0.83,235407.58,237734.9
2023-02-01,Sales,West,17,36267.92,30763.96,4.91,51,0.8,210927.67,230652.65
2023-08-01,Operations,East,91,62837.81,36808.84,4.73,44,0.91,177041.39,181721.86
2021-06-01,Finance,East,87,50894.24,20900.65,3.4,53,0.88,209823.75,201827.64
2023-08-01,Operations,West,84,57953.36,44060.45,3.7,35,0.64,272981.13,284411.11
2021-04-01,Operations,South,51,61611.64,23154.6,4.42,54,0.91,159738.28,145727.9
2021-11-01,Operations,South,58,55474.85,31184.13,3.38,42,0.64,235214.8,238243.03
2022-05-01,Marketing,West,75,37690.87,40875.28,4.18,42,0.67,136426.55,124111.54
2022-12-01,Marketing,South,56,65739.58,19072.5,4.07,45,0.78,157042.08,165376.01
2021-05-01,Marketing,East,76,61591.12,28669.71,3.58,48,0.64,208966.49,208049.29
2023-10-01,Operations,East,29,61810.36,37677.86,3.6,56,0.68,178511.09,180332.05
2021-06-01,Finance,South,27,30060.32,31508.58,4.03,64,0.76,281584.28,289451.5
2022-10-01,Operations,East,78,27995.78,36685.73,3.6,43,0.69,243098.5,238737.27
2021-11-01,Sales,North,34,72692.7,37994.77,3.36,52,0.93,247311.38,230055.46
2022-04-01,Finance,East,15,40428.6,24710.93,4.55,46,0.66,302016.73,287353.98
2023-09-01,Marketing,West,39,53786.53,46187.34,4.16,40,0.8,162383.36,164609.53
2021-09-01,Customer Support,Central,31,68095.55,21595.25,3.88,58,0.77,153371.74,139020.17
2021-06-01,Finance,South,71,74494.53,43569.84,3.36,46,0.76,218073.24,222269.29
2022-04-01,Marketing,South,51,58612.07,33515.46,4.19,67,0.68,206453.31,212847.41
2023-05-01,Finance,East,54,42168.4,23837.34,4.26,45,0.67,207725.7,201837.15
2021-03-01,Finance,East,12,45700.35,21374.97,3.96,42,0.71,179686.96,181659.95
2022-08-01,Operations,Central,59,55560.48,32809.25,3.75,49,0.81,158422.2,162476.28
2023-12-01,Sales,Central,81,52623.32,27801.05,4.73,52,0.8,189977.14,168240.92
2022-07-01,Customer Support,West,46,39260.12,34883.61,4.41,64,0.87,172101.79,163682.76
2023-02-01,Marketing,North,71,10201.86,27734.46,3.71,55,0.71,255527.83,283972.88
2021-03-01,Finance,West,24,38961.58,30749.0,4.19,59,0.85,201025.55,196479.1
2022-07-01,Customer Support,South,49,46805.1,35118.1,3.47,53,0.91,255914.63,261887.63
2022-08-01,Finance,East,39,49855.5,29372.23,3.02,38,0.9,152922.64,137119.09
2023-08-01,Sales,West,81,75600.49,27432.8,4.74,57,0.76,204177.95,191440.73
2021-07-01,Customer Support,East,24,66006.7,33560.86,4.64,54,0.83,167467.85,171098.69
2023-09-01,Marketing,East,28,43075.5,26334.38,4.28,60,0.89,188043.93,185848.3
2022-06-01,Finance,West,61,57556.27,36716.03,4.62,51,0.65,248916.55,263326.1
2021-01-01,Sales,West,59,10031.91,34547.17,4.56,55,0.94,274170.99,252283.53
2021-11-01,Customer Support,Central,13,68391.46,36987.27,4.72,60,0.81,267909.25,263826.33
2023-04-01,Finance,North,98,42554.59,36927.65,4.78,37,0.7,155888.85,161649.58
2023-01-01,Finance,Central,93,52807.72,27504.99,4.64,57,0.78,237669.97,230259.44
2022-11-01,Marketing,North,20,50447.25,10008.42,4.7,62,0.86,158514.33,151190.46
2023-07-01,Sales,West,59,65393.47,28385.73,4.0,51,0.89,239190.76,220393.0
2023-06-01,Operations,North,76,44769.86,32376.35,4.42,61,0.71,143467.82,138019.81
2023-11-01,Finance,South,62,62343.31,28807.6,3.67,44,0.72,216285.02,219457.15
2021-07-01,Customer Support,Central,68,55470.03,22800.13,4.72,48,0.89,154973.96,141152.54
2022-04-01,Marketing,Central,96,51838.68,42403.32,4.72,40,0.89,250024.76,248522.85
2023-02-01,Marketing,Central,80,48378.69,21986.18,3.13,46,0.84,151066.96,132483.0
2021-02-01,Finance,East,92,42359.32,23168.64,3.69,60,0.84,221545.2,202749.98
2021-01-01,Finance,East,53,47512.7,25525.16,3.34,56,0.69,232744.29,216265.1
2021-12-01,Finance,West,33,44265.96,27060.94,3.27,53,0.93,172244.41,170506.1
2021-05-01,Operations,West,83,56282.21,24166.71,3.83,41,0.9,178467.45,182293.02
2023-08-01,Finance,East,86,32983.09,29805.97,4.25,49,0.91,215662.7,199393.01
2021-09-01,Sales,Central,11,51081.24,31044.13,3.69,51,0.67,244847.43,244123.97
2023-11-01,Customer Support,East,81,72743.27,20376.45,3.62,56,0.94,282646.39,287673.49
2022-07-01,Finance,North,87,43401.36,18894.75,3.19,59,0.76,246477.69,262129.66
2022-04-01,Operations,Central,73,56574.78,37196.06,3.77,51,0.84,254303.12,234913.78
2021-03-01,Customer Support,East,94,15150.75,29519.46,3.94,47,0.91,225429.29,211763.66
2022-08-01,Marketing,West,6,26288.96,40023.91,3.8,45,0.64,192339.43,195897.91
2022-12-01,Finance,East,37,48004.93,36402.48,4.36,59,0.71,224023.93,215069.61
2023-09-01,Customer Support,South,52,48870.63,27052.28,3.58,60,0.73,200425.08,202390.35
2022-12-01,Marketing,East,41,50620.16,34354.96,4.43,55,0.87,226502.85,211360.33
2021-11-01,Operations,Central,93,82861.91,37444.43,4.77,39,0.7,84247.1,68115.99
2021-08-01,Sales,East,93,41256.24,21968.64,4.18,47,0.74,275027.1,287937.75
2023-12-01,Finance,West,34,51266.19,14673.89,3.78,43,0.73,299771.89,283048.53
2022-08-01,Sales,North,45,39254.28,20495.4,3.36,43,0.92,137026.22,147207.05
2023-11-01,Operations,South,8,61053.39,35730.06,4.86,53,0.6,247662.33,253797.67
2023-01-01,Customer Support,Central,87,32744.6,47239.25,4.5,47,0.65,255869.1,276647.15
2023-11-01,Customer Support,West,95,39514.92,29645.56,3.49,45,0.92,209407.46,212495.59
2023-01-01,Operations,South,43,36477.97,42733.85,3.3,49,0.81,100051.85,102338.29
2023-05-01,Operations,East,28,62355.52,39131.38,3.1,53,0.63,186052.39,173843.46
2022-06-01,Finance,South,54,51889.81,23007.26,3.38,47,0.77,166034.44,177781.27
2022-06-01,Marketing,North,41,54252.43,29338.63,4.46,47,0.93,274998.44,257632.63
2021-02-01,Sales,South,57,47091.21,36410.33,4.26,43,0.86,199393.73,178346.77
2023-11-01,Sales,South,29,68138.98,18258.24,4.93,48,0.69,215973.77,226346.02
2022-04-01,Customer Support,East,97,47676.07,38484.98,3.64,48,0.75,241723.44,239474.28
2023-12-01,Customer Support,East,35,79479.76,40711.99,4.57,48,0.77,192094.24,178041.73
2023-09-01,Finance,Central,96,69041.68,38116.5,3.24,57,0.87,166860.39,152091.32
2021-04-01,Operations,East,42,27862.42,28805.87,4.13,38,0.87,242903.86,264623.73
2023-09-01,Sales,South,62,59578.03,34843.4,3.93,51,0.7,214509.84,226080.51
2022-02-01,Finance,North,57,69017.27,39829.75,4.68,55,0.85,189146.77,195424.21
2022-09-01,Customer Support,East,54,43883.97,15282.09,4.4,52,0.94,173134.25,177275.7
2022-08-01,Customer Support,Central,8,56171.85,6025.84,3.39,53,0.63,87115.67,79306.46
2021-08-01,Sales,Central,96,27831.43,35150.96,4.97,65,0.89,267658.15,289447.33
2021-07-01,Customer Support,South,56,35059.77,24032.7,4.65,38,0.81,251258.04,270807.86
2021-03-01,Customer Support,East,35,46225.48,31800.79,3.71,55,0.73,298280.11,284763.62
2022-05-01,Marketing,East,91,29683.06,32013.63,4.65,58,0.88,267876.03,276394.43
2023-09-01,Operations,Central,82,50827.91,42244.79,4.91,49,0.71,248654.41,219243.4
2021-12-01,Customer Support,East,96,59755.72,31706.52,4.78,39,0.72,219401.26,225482.43
2022-10-01,Marketing,South,18,36261.3,35319.28,4.11,49,0.78,165737.21,171142.23
2022-10-01,Finance,North,5,29892.2,34647.88,4.15,65,0.76,234836.2,221929.78
2023-06-01,Customer Support,South,47,26316.99,37926.38,3.21,63,0.65,201039.83,191218.09
2021-08-01,Finance,East,63,68186.17,24335.28,3.33,57,0.61,271738.68,263522.36
2023-03-01,Customer Support,South,65,23869.06,33036.66,4.97,65,0.82,205773.79,215702.58
2023-03-01,Sales,West,45,54436.93,6676.79,4.54,44,0.72,200885.87,207624.53
2023-10-01,Marketing,West,22,69588.26,23680.06,3.05,41,0.78,156439.55,132329.83
2022-09-01,Marketing,East,64,35330.43,40220.51,4.1,56,0.67,264830.17,239014.36
2023-06-01,Sales,East,73,37340.57,16734.78,3.69,52,0.8,157614.91,159947.39
2023-09-01,Operations,North,83,52635.14,17831.41,3.62,61,0.72,232678.37,217004.82
2023-04-01,Marketing,South,63,53610.06,36505.91,4.11,48,0.81,267616.65,258727.12
2023-09-01,Finance,North,46,42523.74,23867.52,3.64,53,0.84,202873.79,181434.0
2021-05-01,Marketing,East,84,45544.29,42545.13,3.5,37,0.6,214737.32,208155.57
2022-07-01,Operations,East,40,51362.79,30749.44,4.88,59,0.75,129303.89,114096.63
2021-04-01,Finance,Central,44,43939.0,45212.26,3.08,54,0.85,133133.97,141330.74
2023-11-01,Finance,North,34,44443.77,47015.37,3.87,51,0.86,141939.85,127460.43
2022-05-01,Sales,East,91,79135.96,42755.84,4.02,41,0.73,243438.69,246417.39
2023-04-01,Customer Support,West,15,65201.45,24897.21,3.88,59,0.89,151658.61,141651.27
2023-06-01,Sales,Central,29,66379.61,18802.92,4.31,51,0.83,245784.54,227996.77
2023-05-01,Customer Support,South,49,44884.23,42713.9,3.05,45,0.95,137695.96,121928.36
2021-06-01,Sales,Central,55,24218.56,29848.87,4.77,39,0.78,195126.99,210452.28
2023-11-01,Customer Support,South,47,87141.33,32004.57,4.0,54,0.73,169907.82,152635.52
2022-12-01,Marketing,West,70,40748.25,41485.46,4.11,55,0.92,184250.47,190396.4
2023-05-01,Finance,South,51,54639.12,18782.62,3.93,44,0.74,266052.31,240968.48
2023-07-01,Customer Support,North,28,61755.71,35884.78,3.89,50,0.82,93711.97,95686.85
2023-11-01,Marketing,South,81,41293.02,25066.55,3.37,52,0.89,276851.82,278989.2
2023-09-01,Operations,South,41,63522.12,37926.09,4.01,43,0.76,223156.41,228079.23
2022-09-01,Sales,Central,60,50135.17,33863.04,3.84,49,0.75,140399.49,121877.47
2023-08-01,Operations,West,98,46047.11,38816.44,3.94,54,0.7,239666.49,244248.88
2022-11-01,Marketing,South,79,41286.59,25747.6,3.03,44,0.94,172103.25,182502.19
2023-09-01,Operations,North,91,35051.11,22903.1,3.26,47,0.93,189306.69,188846.23
2021-03-01,Operations,Central,50,22057.74,30014.99,4.53,45,0.76,271318.99,291367.7
2022-06-01,Marketing,West,32,92206.6,24190.79,3.84,51,0.71,137265.45,125852.48
2023-01-01,Finance,West,97,71860.1,23707.7,4.49,57,0.64,195650.09,207628.49
2023-07-01,Customer Support,East,56,51544.1,22984.82,3.34,42,0.77,237913.73,215538.92
2021-03-01,Sales,North,19,73400.26,36332.66,4.4,47,0.91,162644.46,167331.94
2022-12-01,Customer Support,Central,49,71438.08,49532.24,3.58,54,0.9,103391.95,94938.02
2023-08-01,Sales,Central,62,58948.11,37928.19,4.41,43,0.64,153201.05,158318.7
2022-10-01,Customer Support,North,71,44825.04,37009.3,3.17,55,0.77,223701.44,202949.24
2022-11-01,Operations,West,77,66112.14,36761.83,3.67,38,0.89,89827.8,87833.7
2021-02-01,Finance,South,76,63629.18,20868.58,3.24,55,0.89,100731.98,94505.86
2023-03-01,Operations,North,77,61867.51,36927.89,4.26,56,0.93,219799.77,211725.43
2021-02-01,Finance,Central,85,44941.72,11973.01,3.79,57,0.67,145145.14,146471.98
2023-02-01,Marketing,North,45,55684.12,33734.54,3.15,46,0.75,249902.24,261935.85
2022-05-01,Sales,West,69,54101.11,37335.24,4.05,61,0.93,226458.38,237200.96
2023-09-01,Sales,East,44,44289.23,38133.67,3.05,35,0.69,181254.25,161511.77
2021-09-01,Marketing,East,9,55549.6,36513.2,4.64,42,0.72,237616.22,208497.5
2023-05-01,Customer Support,South,98,68791.73,17541.91,4.88,51,0.68,205788.44,200786.74
2023-02-01,Marketing,South,79,72883.42,23580.35,4.62,53,0.79,197481.63,209829.16
2023-11-01,Marketing,West,32,57491.66,41757.78,4.9,46,0.79,214531.97,208676.79
2023-01-01,Finance,South,42,47509.49,33693.08,4.79,35,0.89,184295.43,166624.27
2022-12-01,Marketing,East,85,62820.7,33156.68,4.79,43,0.74,217207.67,207573.09
2022-01-01,Sales,West,91,36918.76,24696.66,3.49,44,0.69,133612.01,128136.71
2021-07-01,Operations,West,22,44343.5,18976.02,3.46,42,0.89,312462.95,337793.19
2023-12-01,Finance,West,41,69127.49,22691.52,4.62,37,0.83,254342.4,269458.18
2022-08-01,Finance,North,31,78076.51,16102.24,3.98,48,0.65,220171.24,192878.97
2021-01-01,Customer Support,South,29,67098.63,35505.17,4.88,47,0.8,257115.13,236022.49
2021-08-01,Operations,Central,73,48776.1,678.19,4.79,57,0.76,258491.55,256988.05
2022-04-01,Finance,East,87,17154.95,22721.54,4.79,52,0.9,198059.98,205084.65
