date,price,demand,competitor_price,economic_index,promotion,day_of_week,month,year,quarter,week_of_year,demand_moving_avg,price_change,demand_lag_1
2015-01-26,21.20362044,416.5815998,22.87645362,0.880342701,0,0,1,2015,1,5,413.3866026,0.017824878,411.0049626
2015-01-27,20.61605934,407.5073544,20.67134657,1.223201506,0,1,1,2015,1,5,411.1704495,-0.027710414,416.5815998
2015-01-28,21.42250806,398.7780964,22.04279778,0.897383011,0,2,1,2015,1,5,409.0793383,0.039117501,407.5073544
2015-01-29,20.97713793,386.8201099,19.12288716,1.090749431,0,3,1,2015,1,5,406.007203,-0.020789822,398.7780964
2015-01-30,21.17409337,402.3593821,22.00297666,0.92596888,0,4,1,2015,1,5,404.165702,0.009389052,386.8201099
2015-01-31,21.06124417,412.2980026,21.9340258,1.016582983,0,5,1,2015,1,5,405.0499297,-0.005329588,402.3593821
2015-02-01,22.33005765,407.484475,21.70124008,0.912882214,0,6,2,2015,1,5,404.5470029,0.060243995,412.2980026
2015-02-02,21.43864457,407.836912,20.23672076,0.879269902,0,0,2,2015,1,6,403.2977618,-0.039919874,407.484475
2015-02-03,20.95765563,400.0928759,22.69746967,1.055520585,0,1,2,2015,1,6,402.2385506,-0.022435604,407.836912
2015-02-04,21.93853462,381.1405106,21.61693721,1.043929395,0,2,2,2015,1,6,399.7188955,0.046802897,400.0928759
2015-02-05,20.95721451,401.1700117,21.60146487,1.117965294,0,3,2,2015,1,6,401.7688814,-0.044730431,381.1405106
2015-02-06,21.71205543,399.6109145,19.68557722,1.000162167,0,4,2,2015,1,6,401.3762432,0.036018189,401.1700117
2015-02-07,20.66737913,405.0544172,20.31217784,1.225735549,1,5,2,2015,1,6,400.3414453,-0.048115035,399.6109145
2015-02-08,21.02230523,412.9001473,22.35620754,1.030635047,0,6,2,2015,1,6,401.1151128,0.017173251,405.0544172
2015-02-09,21.82359675,422.8699306,21.33289754,1.060577858,0,0,2,2015,1,7,403.2626869,0.038116254,412.9001473
2015-02-10,22.13274155,403.0072959,22.58938941,0.868157476,1,1,2,2015,1,7,403.6790326,0.014165621,422.8699306
2015-02-11,21.88709933,401.1369674,20.61701635,0.942691979,0,2,2,2015,1,7,406.5356692,-0.01109859,403.0072959
2015-02-12,21.78105342,401.545864,21.41742156,1.05616839,0,3,2,2015,1,7,406.5893624,-0.004845133,401.1369674
2015-02-13,21.72533427,405.9635778,23.58344875,0.995877654,0,4,2,2015,1,7,407.4968858,-0.002558147,401.545864
2015-02-14,21.17317075,399.5001354,21.4545696,1.023168754,0,5,2,2015,1,7,406.7034169,-0.025415652,405.9635778
2015-02-15,21.5885833,407.2099821,23.32400946,0.922851074,1,6,2,2015,1,7,405.8905362,0.019619761,399.5001354
2015-02-16,21.75377882,409.9915777,23.50286661,1.016795157,0,0,2,2015,1,8,404.0507715,0.007651985,407.2099821
2015-02-17,22.54776248,403.9112693,24.5506703,1.016555059,0,1,2,2015,1,8,404.1799105,0.036498654,409.9915777
2015-02-18,22.22561536,408.3008616,23.98317995,0.886756978,0,2,2,2015,1,8,405.203324,-0.014287321,403.9112693
2015-02-19,21.20638414,413.458786,19.09966191,1.069155475,0,3,2,2015,1,8,406.90517,-0.045858403,408.3008616
2015-02-20,22.28352895,386.3157322,24.21780563,0.834994005,0,4,2,2015,1,8,404.0983349,0.050793421,413.458786
2015-02-21,21.96200501,412.3095233,20.36958149,1.023524318,1,5,2,2015,1,8,405.9282475,-0.014428771,386.3157322
2015-02-22,21.84861264,400.0955162,19.83821801,1.181759789,0,6,2,2015,1,8,404.9118952,-0.005163116,412.3095233
2015-02-23,22.52489953,392.7630859,20.52193381,1.073355584,0,0,2,2015,1,9,402.4506821,0.030953311,400.0955162
2015-02-24,22.76600126,391.7680525,22.07808644,1.072830465,0,1,2,2015,1,9,400.7159368,0.010703787,392.7630859
2015-02-25,22.74702629,407.5388065,23.29661303,0.915757883,0,2,2,2015,1,9,400.6070718,-0.000833479,391.7680525
2015-02-26,21.89209919,405.5475526,21.46437659,1.182506765,0,3,2,2015,1,9,399.4768956,-0.037584126,407.5388065
2015-02-27,22.18685299,389.7744405,20.08156152,1.14337238,0,4,2,2015,1,9,399.9709968,0.013463935,405.5475526
2015-02-28,22.53626428,409.9213533,22.43026556,0.921441578,0,5,2,2015,1,9,399.6298297,0.015748574,389.7744405
2015-03-01,22.88699348,389.2844474,22.62210282,0.958424266,0,6,3,2015,1,9,398.0853913,0.015562881,409.9213533
2015-03-02,22.18763006,408.8680437,23.32740536,1.131466205,0,0,3,2015,1,10,400.3860995,-0.030557243,389.2844474
2015-03-03,22.36178496,409.2758022,21.37613516,1.185715348,0,1,3,2015,1,10,402.8872066,0.007849189,408.8680437
2015-03-04,21.92823846,418.2053353,20.68942971,0.879732017,1,2,3,2015,1,10,404.4109964,-0.01938783,409.2758022
2015-03-05,21.90948177,427.550465,20.84003158,0.905929553,0,3,3,2015,1,10,407.5542696,-0.000855367,418.2053353
2015-03-06,22.93940829,391.226729,22.03898982,0.992021964,0,4,3,2015,1,10,407.7617394,0.047008256,427.550465
2015-03-07,23.23620055,403.1535275,23.69704353,0.789391247,0,5,3,2015,1,10,406.7949072,0.012938096,391.226729
2015-03-08,22.54637934,404.65197,22.4179799,1.008505176,1,6,3,2015,1,10,408.9902675,-0.02968735,403.1535275
2015-03-09,23.10781742,409.2327847,22.3540153,1.125275021,0,0,3,2015,1,11,409.0423734,0.024901474,404.65197
2015-03-10,22.80989243,408.827949,22.23651632,0.862936978,0,1,3,2015,1,11,408.9783944,-0.012892823,409.2327847
2015-03-11,22.32888916,405.8363455,21.75246291,1.019611387,0,2,3,2015,1,11,407.2113958,-0.021087485,408.827949
2015-03-12,22.85386713,402.612597,25.0131311,0.94882363,0,3,3,2015,1,11,403.6488433,0.023511155,405.8363455
2015-03-13,23.4632482,393.0940651,22.21029662,1.171095305,0,4,3,2015,1,11,403.9156056,0.026664243,402.612597
2015-03-14,22.6967126,418.2528758,24.14050296,0.950221534,0,5,3,2015,1,11,406.0726553,-0.032669629,393.0940651
2015-03-15,23.51667322,409.1486438,24.49595846,1.159200039,0,6,3,2015,1,11,406.7150373,0.036126845,418.2528758
2015-03-16,21.44352981,424.3812719,19.32306495,0.947655233,0,0,3,2015,1,12,408.8791069,-0.088156321,409.1486438
2015-03-17,23.1827251,403.6840377,25.46935883,1.084618331,0,1,3,2015,1,12,408.1442624,0.08110583,424.3812719
2015-03-18,22.83298483,402.2478349,24.00404008,1.032795322,0,2,3,2015,1,12,407.631618,-0.015086245,403.6840377
2015-03-19,22.65695667,399.1917615,23.48370714,0.993873503,0,3,3,2015,1,12,407.1429272,-0.00770938,402.2478349
2015-03-20,22.8686472,412.7832987,22.43562802,0.928747923,0,4,3,2015,1,12,409.9556749,0.00934329,399.1917615
2015-03-21,21.8445922,404.1931995,22.08576999,1.040210332,0,5,3,2015,1,12,407.9471497,-0.044779868,412.7832987
2015-03-22,22.74345009,428.8592665,21.62115588,0.963947274,0,6,3,2015,1,12,410.762953,0.041147845,404.1931995
2015-03-23,23.04604755,396.0580651,20.90499325,0.939124188,0,0,3,2015,1,13,406.7167806,0.013304818,428.8592665
2015-03-24,23.61993587,409.2755308,25.20729788,1.155473094,0,1,3,2015,1,13,407.5155653,0.024901811,396.0580651
2015-03-25,22.63464034,427.4068617,24.42949712,1.063053853,1,2,3,2015,1,13,411.109712,-0.041714573,409.2755308
2015-03-26,22.50160111,418.6663322,20.98261089,1.072764735,1,3,3,2015,1,13,413.8917935,-0.005877683,427.4068617
2015-03-27,22.66632473,413.8794829,23.96762607,0.969340998,0,4,3,2015,1,13,414.0483912,0.007320529,418.6663322
2015-03-28,23.38553973,399.1117586,24.51343682,0.990003025,0,5,3,2015,1,13,413.3224711,0.031730552,413.8794829
2015-03-29,23.10212711,396.6648748,21.61608279,0.983843203,0,6,3,2015,1,13,408.7232723,-0.01211914,399.1117586
2015-03-30,22.68205934,420.5512888,22.32744259,1.042524771,1,0,3,2015,1,14,412.2223043,-0.018183078,396.6648748
2015-03-31,23.21203378,425.529233,22.85344463,1.073081235,0,1,3,2015,1,14,414.5442617,0.023365358,420.5512888
2015-04-01,23.01167012,407.3468767,24.20811247,1.005975763,0,2,4,2015,2,14,411.6785496,-0.008631887,425.529233
2015-04-02,23.45445387,398.3955825,25.03838429,0.929836411,0,3,4,2015,2,14,408.7827282,0.019241704,407.3468767
2015-04-03,22.62537187,389.6135846,20.79169915,1.085257966,1,4,4,2015,2,14,405.3161713,-0.035348595,398.3955825
2015-04-04,22.81809986,403.6865829,23.10546752,1.012641317,0,5,4,2015,2,14,405.9697176,0.008518224,389.6135846
2015-04-05,22.79067348,412.756298,23.98375838,0.865317302,0,6,4,2015,2,14,408.2684924,-0.001201957,403.6865829
2015-04-06,22.25902962,432.8027218,23.5330946,0.795971475,0,0,4,2015,2,15,410.0186971,-0.023327255,412.756298
2015-04-07,23.1421687,419.3864248,21.51293005,1.039390678,0,1,4,2015,2,15,409.1411531,0.039675543,432.8027218
2015-04-08,23.12721876,416.0388654,23.24519137,0.92675359,0,2,4,2015,2,15,410.3828657,-0.000646004,419.3864248
2015-04-09,23.00109088,409.8744977,24.64593894,1.052907193,1,3,4,2015,2,15,412.0227107,-0.005453655,416.0388654
2015-04-10,22.88234362,408.8936765,22.05179956,0.932339159,0,4,4,2015,2,15,414.7770096,-0.005162679,409.8744977
2015-04-11,22.29231459,431.9867074,21.95845106,1.023319577,0,5,4,2015,2,15,418.8198845,-0.025785341,408.8936765
2015-04-12,22.78929972,417.7062833,24.17652319,0.972260857,0,6,4,2015,2,15,419.5270253,0.022294012,431.9867074
2015-04-13,22.82714728,394.7360746,20.95221453,1.185393101,0,0,4,2015,2,16,414.0889328,0.00166076,417.7062833
2015-04-14,22.59550808,410.4361219,24.22009479,1.105332596,0,1,4,2015,2,16,412.8103181,-0.010147532,394.7360746
2015-04-15,22.91340651,407.2499164,22.04799793,1.14513073,0,2,4,2015,2,16,411.554754,0.014069099,410.4361219
2015-04-16,23.19273856,409.2216264,20.88019207,1.012905827,0,3,4,2015,2,16,411.4614866,0.012190769,407.2499164
2015-04-17,23.92973179,416.8760469,22.65743172,1.092837154,1,4,4,2015,2,16,412.6018253,0.031776895,409.2216264
2015-04-18,23.06911639,414.7219884,21.1751449,1.019866078,0,5,4,2015,2,16,410.1354368,-0.035964273,416.8760469
2015-04-19,23.10505546,415.0932781,21.2214616,1.157760217,0,6,4,2015,2,16,409.7621504,0.001557887,414.7219884
2015-04-20,22.93277559,430.1020141,23.81722731,1.003644884,0,0,4,2015,2,17,414.8144275,-0.007456371,415.0932781
2015-04-21,22.00359827,414.8912601,20.74488831,0.871252166,0,1,4,2015,2,17,415.4508758,-0.040517438,430.1020141
2015-04-22,22.94198105,436.0473957,24.93675127,0.811238958,0,2,4,2015,2,17,419.5648014,0.042646788,414.8912601
2015-04-23,22.9768779,410.7580156,23.05244677,1.178032232,0,3,4,2015,2,17,419.7842856,0.001521091,436.0473957
2015-04-24,24.16918145,412.6404534,23.97630296,1.059151578,1,4,4,2015,2,17,419.1792008,0.051891451,410.7580156
2015-04-25,22.83145256,415.8626905,22.53137201,1.065826825,0,5,4,2015,2,17,419.3421582,-0.055348539,412.6404534
2015-04-26,23.06775686,418.9637105,23.95626983,1.160465934,0,6,4,2015,2,17,419.8950771,0.010349946,415.8626905
2015-04-27,22.88825759,423.3079439,22.66973316,0.846427666,1,0,4,2015,2,18,418.9244957,-0.007781392,418.9637105
2015-04-28,22.30918769,426.3294194,20.65206281,0.975841049,0,1,4,2015,2,18,420.5585184,-0.025299868,423.3079439
2015-04-29,23.45213726,408.977515,25.2353073,0.988194197,1,2,4,2015,2,18,416.6913926,0.051232236,426.3294194
2015-04-30,23.2431806,406.5553606,22.91031664,1.086128713,0,3,4,2015,2,18,416.0910133,-0.00890992,408.977515
2015-05-01,23.24851071,443.019268,21.26775887,0.942737178,0,4,5,2015,2,18,420.430844,0.000229319,406.5553606
2015-05-02,22.38337758,417.7017139,22.51483958,0.891963836,0,5,5,2015,2,18,420.6935616,-0.037212411,443.019268
2015-05-03,23.52384465,424.0583274,24.21707757,0.891166355,0,6,5,2015,2,18,421.421364,0.050951518,417.7017139
2015-05-04,22.10520161,408.3086165,21.11304263,1.127243038,0,0,5,2015,2,19,419.278603,-0.060306598,424.0583274
2015-05-05,23.08254282,416.9264292,24.46906689,0.938148031,0,1,5,2015,2,19,417.9353186,0.044213178,408.3086165
2015-05-06,23.86664092,414.7529176,24.67703675,0.957299502,0,2,5,2015,2,19,418.7603762,0.033969312,416.9264292
2015-05-07,22.25775983,429.018917,22.92701135,1.076051075,1,3,5,2015,2,19,421.9694557,-0.067411292,414.7529176
2015-05-08,22.45081461,396.3209954,22.09530574,0.942806729,0,4,5,2015,2,19,415.2982739,0.008673594,429.018917
2015-05-09,22.76404994,423.8593972,24.86706253,0.842306438,0,5,5,2015,2,19,416.1779429,0.01395207,396.3209954
2015-05-10,22.44207738,412.527648,21.42854455,0.854731173,0,6,5,2015,2,19,414.530703,-0.014143905,423.8593972
2015-05-11,21.89740965,430.2076361,22.23771949,1.00732056,0,0,5,2015,2,20,417.6591344,-0.024269934,412.527648
2015-05-12,22.68528943,412.8758267,21.81896163,1.062834153,0,1,5,2015,2,20,417.0804769,0.035980501,430.2076361
2015-05-13,22.09746843,417.8362875,23.17938149,0.992976796,0,2,5,2015,2,20,417.5209583,-0.02591199,412.8758267
2015-05-14,22.84238014,420.1417143,20.77647638,1.056345601,1,3,5,2015,2,20,416.2527865,0.033710274,417.8362875
2015-05-15,22.12219244,416.1656043,20.11302779,0.852117588,0,4,5,2015,2,20,419.0877306,-0.031528576,420.1417143
2015-05-16,23.33255521,416.0902379,24.78319135,0.858970996,0,5,5,2015,2,20,417.9778507,0.054712605,416.1656043
2015-05-17,22.14101363,415.0765486,21.84993973,1.238994952,0,6,5,2015,2,20,418.3419793,-0.05106777,416.0902379
2015-05-18,22.34603678,407.8590129,21.63623752,1.136979797,0,0,5,2015,2,21,415.1493189,0.009259881,415.0765486
2015-05-19,22.88763471,433.8663279,23.37984182,1.090698569,0,1,5,2015,2,21,418.1479619,0.024236867,407.8590129
2015-05-20,21.83864026,416.1737669,22.72048168,0.947928923,0,2,5,2015,2,21,417.910459,-0.045832366,433.8663279
2015-05-21,22.54039307,424.0396916,21.19338525,0.990200781,0,3,5,2015,2,21,418.4673129,0.03213354,416.1737669
2015-05-22,23.05222631,430.9957345,21.60192426,1.013933678,0,4,5,2015,2,21,420.5859029,0.022707378,424.0396916
2015-05-23,21.56631319,424.9449084,23.54243769,1.145636032,0,5,5,2015,2,21,421.8508558,-0.064458552,430.9957345
2015-05-24,22.43318672,418.7047459,22.83547794,1.054579707,0,6,5,2015,2,21,422.3691697,0.040195722,424.9449084
2015-05-25,22.44104848,429.3743554,21.94786819,1.06699282,0,0,5,2015,2,22,425.4427901,0.000350452,418.7047459
2015-05-26,22.67168546,437.3314536,24.03852372,0.997735957,0,1,5,2015,2,22,425.937808,0.01027746,429.3743554
2015-05-27,21.63140276,419.852142,21.74024747,1.093867967,0,2,5,2015,2,22,426.4632902,-0.045884665,437.3314536
2015-05-28,21.55819866,430.6000349,20.44434177,1.044933745,0,3,5,2015,2,22,427.4004821,-0.003384159,419.852142
2015-05-29,22.44739913,410.5191877,21.1307932,1.019203753,0,4,5,2015,2,22,424.4752611,0.041246511,430.6000349
2015-05-30,22.30238249,424.824247,21.84232567,0.940593073,0,5,5,2015,2,22,424.4580238,-0.006460287,410.5191877
2015-05-31,22.24606684,429.5653324,23.84732031,1.003644326,0,6,5,2015,2,22,426.0095361,-0.002525096,424.824247
2015-06-01,22.26045139,420.7889691,20.30797792,0.90714824,1,0,6,2015,2,23,424.7830524,0.000646611,429.5653324
2015-06-02,21.7131067,427.6842688,20.4907717,1.01118762,0,1,6,2015,2,23,423.4048831,-0.024588212,420.7889691
2015-06-03,22.13463101,416.2449343,23.87508509,1.024192666,0,2,6,2015,2,23,422.8895678,0.019413358,427.6842688
2015-06-04,22.12992736,431.3005238,20.45573006,0.774949702,0,3,6,2015,2,23,422.9896376,-0.000212502,416.2449343
2015-06-05,21.59061291,443.9606438,22.15035265,0.992467596,0,4,6,2015,2,23,427.7669885,-0.024370367,431.3005238
2015-06-06,22.84459268,416.3381221,21.53564946,0.89801354,0,5,6,2015,2,23,426.5546849,0.05807986,443.9606438
2015-06-07,22.11206692,424.9195904,22.58025388,1.065565503,0,6,6,2015,2,23,425.8910075,-0.032065608,416.3381221
2015-06-08,21.24248098,440.6921718,20.74584948,1.079517555,0,0,6,2015,2,24,428.7343221,-0.039326307,424.9195904
2015-06-09,22.12893818,443.5261484,20.36604472,0.973267608,0,1,6,2015,2,24,430.9974478,0.041730399,440.6921718
2015-06-10,21.27540482,420.9101675,21.62634291,1.070903809,1,2,6,2015,2,24,431.6639097,-0.038570914,443.5261484
2015-06-11,22.11793721,430.1090467,22.92764281,1.075208304,0,3,6,2015,2,24,431.4936987,0.039601239,420.9101675
2015-06-12,22.26491641,434.0591231,23.06766736,0.993230036,0,4,6,2015,2,24,430.0791957,0.006645249,430.1090467
2015-06-13,21.23608518,435.5155437,21.81810005,1.169730328,0,5,6,2015,2,24,432.8188274,-0.046208628,434.0591231
2015-06-14,22.08851581,407.6684836,22.08950882,0.943894146,0,6,6,2015,2,24,430.3543836,0.040140667,435.5155437
2015-06-15,21.77322307,439.1845248,21.8580194,1.16363822,1,0,6,2015,2,25,430.1390054,-0.014274057,407.6684836
2015-06-16,21.93748089,448.7047564,22.53260135,0.994081717,0,1,6,2015,2,25,430.8788066,0.007544028,439.1845248
2015-06-17,22.43408879,432.3523223,23.28774787,0.932369035,0,2,6,2015,2,25,432.5134001,0.022637417,448.7047564
2015-06-18,21.32187309,426.5913623,21.98232552,0.981646833,0,3,6,2015,2,25,432.0108738,-0.049577039,432.3523223
2015-06-19,21.02621742,433.4033502,21.39184469,0.906962767,0,4,6,2015,2,25,431.9171919,-0.013866309,426.5913623
2015-06-20,20.91650037,456.9345357,19.47677157,1.095457487,0,5,6,2015,2,25,434.9770479,-0.005218106,433.4033502
2015-06-21,20.9111886,448.5120563,19.70091817,0.856824812,0,6,6,2015,2,25,440.811844,-0.000253951,456.9345357
2015-06-22,21.23805351,444.3271034,20.2195785,1.156162576,0,0,6,2015,2,26,441.5464981,0.015631101,448.5120563
2015-06-23,21.40437593,440.8063398,23.2008951,0.92371501,0,1,6,2015,2,26,440.4181529,0.00783134,444.3271034
2015-06-24,21.32903643,431.1527814,22.43556591,1.101067077,0,2,6,2015,2,26,440.2467899,-0.003519817,440.8063398
2015-06-25,21.56087991,434.7427108,21.78885094,1.019924336,0,3,6,2015,2,26,441.4112682,0.010869852,431.1527814
2015-06-26,21.11010335,438.3648063,20.06328257,1.044683288,0,4,6,2015,2,26,442.1200477,-0.020907151,434.7427108
2015-06-27,21.7864112,441.398201,20.09095575,0.958697433,0,5,6,2015,2,26,439.9005713,0.032037165,438.3648063
2015-06-28,20.88309601,455.6464158,22.54856145,1.05308258,0,6,6,2015,2,26,440.9197655,-0.041462322,441.398201
2015-06-29,22.33103868,444.6373122,24.08476668,1.031399219,0,0,6,2015,2,27,440.964081,0.069335632,455.6464158
2015-06-30,21.23907782,424.8545276,19.58538452,0.872210693,0,1,6,2015,2,27,438.6852507,-0.048898794,444.6373122
2015-07-01,20.45272684,445.3529254,21.6685051,0.92185181,0,2,7,2015,3,27,440.7138427,-0.037023782,424.8545276
2015-07-02,20.30070335,451.3717844,20.08407483,0.964110609,0,3,7,2015,3,27,443.0894247,-0.00743292,445.3529254
2015-07-03,21.03202344,446.6654148,20.29155712,0.942802178,0,4,7,2015,3,27,444.2752259,0.036024372,451.3717844
2015-07-04,20.63349832,436.3045584,21.62021092,1.143682935,0,5,7,2015,3,27,443.5475626,-0.018948492,446.6654148
2015-07-05,21.05648852,469.748689,21.53796425,1.019203269,0,6,7,2015,3,27,445.5621731,0.020500169,436.3045584
2015-07-06,20.89019303,428.7920685,22.06016963,0.940734725,0,0,7,2015,3,28,443.2985669,-0.007897589,469.748689
2015-07-07,20.57108441,432.4485956,18.81978102,0.969624888,0,1,7,2015,3,28,444.3834337,-0.015275523,428.7920685
2015-07-08,20.13787674,447.9026704,19.40722229,0.968355572,0,2,7,2015,3,28,444.747683,-0.021059059,432.4485956
2015-07-09,19.7574862,468.7550775,19.04351723,0.990096943,0,3,7,2015,3,28,447.2310106,-0.018889307,447.9026704
2015-07-10,20.24516148,436.9032656,19.55582625,0.91146896,1,4,7,2015,3,28,445.8364179,0.024683063,468.7550775
2015-07-11,20.8500119,439.6973862,20.86035297,0.937708799,0,5,7,2015,3,28,446.3211075,0.029876295,436.9032656
2015-07-12,20.48214882,455.0807894,19.59328011,1.095862611,0,6,7,2015,3,28,444.2256933,-0.017643303,439.6973862
2015-07-13,19.70542944,448.1238508,19.48624047,1.037836241,0,0,7,2015,3,29,446.9873765,-0.037921772,455.0807894
2015-07-14,20.36800515,441.7527289,19.82938382,1.004168186,0,1,7,2015,3,29,448.3165384,0.033624018,448.1238508
2015-07-15,20.42711979,450.5668435,21.3884039,1.019764232,0,2,7,2015,3,29,448.6971346,0.002902328,441.7527289
2015-07-16,19.74552093,451.1491512,20.15425636,1.015045885,0,3,7,2015,3,29,446.1820022,-0.03336735,450.5668435
2015-07-17,20.2172545,456.4732921,20.83844756,0.99878886,0,4,7,2015,3,29,448.9777203,0.023890662,451.1491512
2015-07-18,20.12240395,459.6595806,18.95765439,1.071512464,1,5,7,2015,3,29,451.8294624,-0.004691564,456.4732921
2015-07-19,19.47469906,453.1533116,18.79504049,1.064217989,0,6,7,2015,3,29,451.5541084,-0.032188246,459.6595806
2015-07-20,20.17795111,449.582339,18.24557107,0.862825703,1,0,7,2015,3,30,451.7624638,0.036111061,453.1533116
2015-07-21,20.23232315,448.6303745,18.64762525,1.006945792,0,1,7,2015,3,30,452.7449846,0.002694626,449.582339
2015-07-22,20.44634182,450.4047085,19.48558552,0.86962008,1,2,7,2015,3,30,452.7218225,0.010578057,448.6303745
2015-07-23,20.38462603,446.4660347,18.61305412,1.083859751,0,3,7,2015,3,30,452.0528059,-0.003018427,450.4047085
2015-07-24,19.12183424,452.3126599,19.51433819,1.097168696,0,4,7,2015,3,30,451.4584298,-0.061948244,446.4660347
2015-07-25,19.29474705,463.5090168,21.21700596,0.95942416,0,5,7,2015,3,30,452.0083493,0.009042689,452.3126599
2015-07-26,19.97422617,463.3931808,18.37954473,1.008926165,0,6,7,2015,3,30,453.4711877,0.035215757,463.5090168
2015-07-27,19.92672039,433.478788,21.20693331,0.80955804,0,0,7,2015,3,31,451.1706804,-0.002378354,463.3931808
2015-07-28,19.88055162,448.9682396,18.36492296,1.118081062,0,1,7,2015,3,31,451.2189469,-0.002316928,433.478788
2015-07-29,21.50268691,433.9513681,22.2334085,1.091869464,0,2,7,2015,3,31,448.8684697,0.081594079,448.9682396
2015-07-30,19.81516437,446.245262,20.38250266,1.136010626,0,3,7,2015,3,31,448.8369307,-0.078479613,433.9513681
2015-07-31,20.05101594,452.2780201,21.66599268,1.169756524,0,4,7,2015,3,31,448.8319822,0.01190258,446.245262
2015-08-01,19.91387554,455.7081675,18.37630774,0.898791191,0,5,8,2015,3,31,447.7175751,-0.006839574,452.2780201
2015-08-02,19.71635079,448.9534485,18.98859846,1.11010655,0,6,8,2015,3,31,445.6547563,-0.009918951,455.7081675
2015-08-03,19.18695143,433.6596906,17.61661366,1.169332585,1,0,8,2015,3,32,445.6805995,-0.026850778,448.9534485
2015-08-04,19.67816329,440.756039,19.31365808,0.872044363,0,1,8,2015,3,32,444.507428,0.02560135,433.6596906
2015-08-05,18.86653178,463.4971823,20.41959892,1.004481039,0,2,8,2015,3,32,448.7282586,-0.041245288,440.756039
2015-08-06,19.08898515,426.0812584,20.1637834,0.985361972,0,3,8,2015,3,32,445.8476866,0.011790899,463.4971823
2015-08-07,18.91935835,466.2715998,19.76278372,1.107348367,0,4,8,2015,3,32,447.8467695,-0.008886109,426.0812584
2015-08-08,19.15782966,458.4790088,19.28437672,0.782508084,0,5,8,2015,3,32,448.2426039,0.012604619,466.2715998
2015-08-09,20.22929227,461.1309567,21.78082131,1.20359797,0,6,8,2015,3,32,449.982248,0.055928184,458.4790088
2015-08-10,18.09362982,456.719677,17.91067354,1.010848504,0,0,8,2015,3,33,453.2765317,-0.105572772,461.1309567
2015-08-11,19.325932,431.9857228,17.9719018,1.11381166,0,1,8,2015,3,33,452.0236294,0.068106963,456.719677
