transaction_id,products,total_price,discount,effective_price
68,"['Monitor', 'Headphones']",380,10,342.0
69,"['Smartphone', 'Charger', 'Headphones', 'Mouse', 'USB Drive']",855,0,855.0
70,"['Smartphone', 'Mouse', 'Backpack', 'Headphones', 'Keyboard']",920,20,736.0
71,"['Laptop', 'Mouse']",1030,10,927.0
72,"['Headphones', 'Keyboard']",130,0,130.0
73,"['Monitor', 'Tablet']",700,0,700.0
74,"['Mouse', 'Charger', 'USB Drive', 'Backpack', 'Keyboard']",185,10,166.5
75,"['Charger', 'Headphones', 'Tablet']",505,10,454.5
76,"['Tablet', 'Keyboard', 'Headphones', 'Charger', 'Smartphone']",1255,10,1129.5
77,"['USB Drive', 'Headphones', 'Laptop']",1100,10,990.0
78,"['Monitor', 'USB Drive', 'Backpack']",380,0,380.0
79,"['Charger', 'USB Drive', 'Mouse']",75,0,75.0
80,"['Charger', 'Tablet', 'Monitor', 'Headphones']",805,0,805.0
81,"['Headphones', 'Keyboard', 'Tablet']",530,15,450.5
82,"['Tablet', 'Mouse', 'Keyboard']",480,5,456.0
83,"['Charger', 'USB Drive', 'Monitor', 'Backpack']",405,0,405.0
84,"['Tablet', 'Mouse', 'Smartphone', 'Keyboard', 'Monitor']",1480,0,1480.0
85,"['Backpack', 'Tablet', 'Headphones', 'Smartphone']",1240,0,1240.0
86,"['Smartphone', 'Mouse', 'Backpack', 'Charger', 'USB Drive']",835,0,835.0
87,"['Keyboard', 'Mouse', 'Smartphone', 'USB Drive', 'Backpack']",860,10,774.0
88,"['Backpack', 'Tablet', 'Keyboard', 'Mouse', 'Monitor']",840,5,798.0
89,"['Smartphone', 'Tablet']",1100,15,935.0
90,"['Tablet', 'Mouse', 'Headphones', 'USB Drive', 'Smartphone']",1230,0,1230.0
91,"['Mouse', 'Keyboard', 'Monitor', 'Laptop']",1380,0,1380.0
92,"['USB Drive', 'Keyboard', 'Smartphone', 'Headphones']",850,10,765.0
93,"['Tablet', 'Smartphone', 'Keyboard', 'Mouse']",1180,10,1062.0
94,"['Tablet', 'Headphones', 'Laptop', 'Keyboard']",1530,5,1453.5
95,"['Keyboard', 'Mouse', 'Backpack', 'Laptop', 'Tablet']",1540,10,1386.0
96,"['Keyboard', 'Monitor', 'Smartphone', 'Backpack', 'Laptop']",2110,0,2110.0
97,"['Backpack', 'Monitor', 'Tablet']",760,5,722.0
98,"['Smartphone', 'Tablet']",1100,0,1100.0
99,"['Tablet', 'Laptop', 'Keyboard', 'Headphones']",1530,0,1530.0
100,"['Tablet', 'Smartphone', 'Monitor', 'Headphones']",1480,0,1480.0
101,"['USB Drive', 'Tablet', 'Headphones', 'Monitor']",800,0,800.0
102,"['Keyboard', 'Headphones']",130,5,123.5
103,"['Tablet', 'Laptop', 'Smartphone']",2100,0,2100.0
104,"['Tablet', 'Backpack']",460,5,437.0
105,"['Monitor', 'Smartphone', 'Keyboard', 'Mouse']",1080,15,918.0
106,"['Backpack', 'USB Drive', 'Headphones', 'Smartphone']",860,0,860.0
107,"['Laptop', 'Charger', 'Headphones']",1105,0,1105.0
108,"['Headphones', 'Laptop', 'Charger']",1105,10,994.5
109,"['Mouse', 'Backpack']",90,0,90.0
110,"['Charger', 'Smartphone', 'Laptop']",1725,0,1725.0
111,"['Backpack', 'Smartphone']",760,0,760.0
112,"['Tablet', 'Charger', 'Mouse']",455,0,455.0
113,"['Headphones', 'Smartphone', 'Monitor', 'Charger']",1105,15,939.25
114,"['Tablet', 'Laptop', 'Mouse', 'USB Drive']",1450,10,1305.0
115,"['USB Drive', 'Headphones', 'Laptop']",1100,5,1045.0
116,"['Mouse', 'Monitor', 'Backpack', 'Charger', 'Laptop']",1415,15,1202.75
117,"['Backpack', 'USB Drive', 'Headphones']",160,10,144.0
118,"['Laptop', 'Keyboard', 'Smartphone', 'Tablet', 'Monitor']",2450,0,2450.0
119,"['Monitor', 'Keyboard', 'USB Drive', 'Smartphone', 'Laptop']",2070,15,1759.5
120,"['Tablet', 'Charger', 'Laptop', 'Keyboard', 'Mouse']",1505,5,1429.75
121,"['Monitor', 'USB Drive', 'Mouse', 'Headphones']",430,10,387.0
122,"['Smartphone', 'Headphones', 'Monitor', 'Laptop']",2080,15,1768.0
123,"['Backpack', 'Headphones', 'Laptop']",1140,0,1140.0
124,"['Charger', 'Headphones', 'Smartphone']",805,0,805.0
125,"['Laptop', 'Tablet', 'Monitor', 'Keyboard', 'Smartphone']",2450,0,2450.0
126,"['USB Drive', 'Smartphone', 'Monitor', 'Charger']",1045,0,1045.0
127,"['Charger', 'Headphones', 'USB Drive']",125,10,112.5
128,"['Mouse', 'Charger']",55,15,46.75
129,"['Keyboard', 'Mouse', 'Smartphone', 'Monitor', 'Headphones']",1160,0,1160.0
130,"['Headphones', 'USB Drive', 'Mouse']",130,5,123.5
131,"['Keyboard', 'Smartphone', 'Charger', 'Headphones']",855,0,855.0
132,"['USB Drive', 'Laptop']",1020,0,1020.0
133,"['USB Drive', 'Smartphone', 'Mouse', 'Tablet']",1150,0,1150.0
134,"['Smartphone', 'Headphones']",780,0,780.0
135,"['Headphones', 'Backpack', 'Smartphone', 'Charger']",865,15,735.25
136,"['Tablet', 'Mouse']",430,0,430.0
137,"['Laptop', 'USB Drive', 'Charger']",1045,5,992.75
138,"['Laptop', 'Mouse', 'Keyboard', 'Backpack']",1140,10,1026.0
139,"['USB Drive', 'Backpack', 'Mouse', 'Laptop', 'Headphones']",1190,0,1190.0
140,"['Keyboard', 'Headphones', 'Smartphone', 'USB Drive', 'Mouse']",880,20,704.0
141,"['USB Drive', 'Keyboard', 'Tablet', 'Charger', 'Laptop']",1495,20,1196.0
142,"['USB Drive', 'Charger', 'Monitor', 'Tablet']",745,0,745.0
143,"['Backpack', 'Mouse', 'USB Drive', 'Keyboard', 'Laptop']",1160,0,1160.0
144,"['Headphones', 'USB Drive']",100,0,100.0
145,"['Monitor', 'Laptop', 'Mouse', 'Keyboard', 'Charger']",1405,0,1405.0
146,"['Mouse', 'Laptop']",1030,0,1030.0
147,"['Headphones', 'Smartphone', 'USB Drive', 'Keyboard', 'Laptop']",1850,5,1757.5
148,"['Headphones', 'Smartphone', 'Laptop']",1780,5,1691.0
149,"['Tablet', 'USB Drive']",420,0,420.0
150,"['Smartphone', 'Keyboard', 'Tablet', 'Laptop', 'Backpack']",2210,0,2210.0
151,"['Tablet', 'Charger']",425,15,361.25
152,"['Mouse', 'Smartphone', 'Laptop', 'Headphones', 'Charger']",1835,0,1835.0
153,"['Charger', 'Keyboard', 'Monitor', 'Headphones', 'Mouse']",485,0,485.0
154,"['Mouse', 'Headphones', 'Smartphone', 'Laptop', 'USB Drive']",1830,0,1830.0
155,"['Backpack', 'Headphones']",140,20,112.0
156,"['USB Drive', 'Tablet']",420,0,420.0
157,"['Laptop', 'Smartphone', 'Tablet']",2100,5,1995.0
158,"['USB Drive', 'Charger']",45,10,40.5
159,"['Keyboard', 'Tablet', 'Monitor']",750,0,750.0
160,"['Laptop', 'Smartphone', 'Headphones']",1780,10,1602.0
161,"['Charger', 'Headphones', 'Tablet']",505,0,505.0
162,"['Headphones', 'Keyboard', 'Smartphone']",830,5,788.5
163,"['Backpack', 'Charger', 'Laptop', 'Tablet', 'Smartphone']",2185,5,2075.75
164,"['Laptop', 'Smartphone', 'Backpack', 'Monitor']",2060,5,1957.0
165,"['Laptop', 'Smartphone', 'Keyboard', 'Charger', 'Backpack']",1835,0,1835.0
166,"['Mouse', 'Smartphone', 'Charger', 'Headphones', 'USB Drive']",855,10,769.5
167,"['Smartphone', 'Keyboard']",750,0,750.0
168,"['USB Drive', 'Laptop', 'Headphones']",1100,0,1100.0
169,"['Headphones', 'Monitor', 'Backpack', 'Mouse']",470,0,470.0
170,"['Smartphone', 'Mouse', 'Tablet', 'Laptop', 'Charger']",2155,5,2047.25
171,"['Mouse', 'Keyboard']",80,5,76.0
172,"['USB Drive', 'Laptop', 'Smartphone', 'Mouse', 'Headphones']",1830,0,1830.0
173,"['Mouse', 'Monitor', 'Smartphone', 'Keyboard']",1080,5,1026.0
174,"['Tablet', 'Monitor', 'Headphones', 'Laptop']",1780,0,1780.0
175,"['USB Drive', 'Laptop', 'Charger']",1045,5,992.75
176,"['Charger', 'Keyboard', 'Tablet']",475,0,475.0
177,"['Mouse', 'USB Drive', 'Laptop']",1050,5,997.5
178,"['Backpack', 'Headphones', 'Mouse', 'Charger']",195,0,195.0
179,"['Charger', 'USB Drive', 'Monitor', 'Smartphone']",1045,15,888.25
180,"['Backpack', 'Mouse']",90,0,90.0
181,"['Keyboard', 'Backpack', 'Laptop', 'USB Drive']",1130,0,1130.0
182,"['USB Drive', 'Laptop', 'Headphones', 'Backpack']",1160,0,1160.0
183,"['Smartphone', 'Charger', 'Monitor']",1025,15,871.25
184,"['Headphones', 'Backpack', 'USB Drive', 'Monitor', 'Tablet']",860,15,731.0
185,"['Backpack', 'Monitor', 'Charger', 'Laptop']",1385,0,1385.0
186,"['Smartphone', 'Laptop', 'Monitor']",2000,5,1900.0
187,"['Laptop', 'Tablet', 'Headphones']",1480,10,1332.0
188,"['Headphones', 'Smartphone', 'Laptop', 'Monitor', 'Charger']",2105,5,1999.75
189,"['Headphones', 'Keyboard', 'USB Drive', 'Charger']",175,5,166.25
190,"['Laptop', 'Mouse']",1030,0,1030.0
191,"['Laptop', 'Mouse']",1030,0,1030.0
192,"['Mouse', 'Keyboard', 'Laptop', 'Backpack']",1140,15,969.0
193,"['Smartphone', 'Headphones', 'Laptop', 'Tablet', 'Charger']",2205,15,1874.25
194,"['Tablet', 'Keyboard', 'Mouse', 'Backpack', 'USB Drive']",560,5,532.0
195,"['USB Drive', 'Headphones']",100,0,100.0
196,"['Tablet', 'Backpack', 'Keyboard', 'Charger']",535,0,535.0
197,"['Keyboard', 'Charger', 'Smartphone']",775,10,697.5
198,"['Headphones', 'Mouse', 'Smartphone', 'Backpack', 'Laptop']",1870,15,1589.5
199,"['Charger', 'Backpack', 'Monitor']",385,15,327.25
200,"['Tablet', 'Backpack', 'Headphones', 'Charger']",565,10,508.5
201,"['Backpack', 'Charger', 'USB Drive']",105,5,99.75
202,"['Mouse', 'Backpack']",90,0,90.0
203,"['Mouse', 'Headphones', 'Tablet']",510,0,510.0
204,"['Headphones', 'USB Drive', 'Tablet', 'Backpack']",560,15,476.0
205,"['USB Drive', 'Monitor', 'Tablet']",720,5,684.0
206,"['Mouse', 'Tablet', 'USB Drive', 'Charger', 'Smartphone']",1175,0,1175.0
207,"['Monitor', 'Tablet', 'Backpack', 'USB Drive']",780,0,780.0
208,"['Charger', 'USB Drive']",45,5,42.75
209,"['Headphones', 'Charger', 'Monitor']",405,0,405.0
210,"['Monitor', 'Mouse', 'Laptop']",1330,0,1330.0
211,"['Charger', 'Monitor', 'Smartphone', 'Laptop', 'Tablet']",2425,5,2303.75
212,"['Mouse', 'Charger', 'Tablet']",455,5,432.25
213,"['Headphones', 'Laptop', 'USB Drive']",1100,5,1045.0
214,"['Tablet', 'Laptop', 'Smartphone', 'Keyboard', 'Monitor']",2450,0,2450.0
215,"['Monitor', 'Tablet', 'Headphones', 'Backpack', 'Keyboard']",890,10,801.0
216,"['Mouse', 'Tablet', 'Keyboard', 'Backpack', 'Monitor']",840,0,840.0
217,"['Keyboard', 'Tablet']",450,0,450.0
218,"['Laptop', 'Smartphone', 'Tablet']",2100,10,1890.0
219,"['Mouse', 'Tablet', 'Charger', 'Headphones', 'Monitor']",835,5,793.25
220,"['Headphones', 'USB Drive', 'Charger', 'Laptop']",1125,10,1012.5
221,"['Backpack', 'Smartphone', 'Mouse', 'Headphones', 'Charger']",895,5,850.25
222,"['Smartphone', 'Headphones', 'Mouse']",810,5,769.5
223,"['Keyboard', 'USB Drive', 'Monitor']",370,0,370.0
224,"['Charger', 'Monitor', 'Mouse']",355,0,355.0
225,"['Headphones', 'Charger', 'Backpack']",165,0,165.0
226,"['Monitor', 'Keyboard']",350,0,350.0
227,"['Monitor', 'Smartphone', 'Charger', 'Laptop', 'Backpack']",2085,20,1668.0
228,"['Laptop', 'USB Drive', 'Tablet', 'Monitor', 'Keyboard']",1770,0,1770.0
229,"['Mouse', 'Monitor']",330,15,280.5
230,"['Backpack', 'Smartphone', 'Headphones']",840,5,798.0
231,"['Charger', 'Monitor', 'USB Drive']",345,10,310.5
232,"['Charger', 'Smartphone', 'USB Drive', 'Monitor', 'Backpack']",1105,5,1049.75
233,"['Laptop', 'USB Drive', 'Tablet']",1420,5,1349.0
234,"['USB Drive', 'Headphones']",100,0,100.0
235,"['Charger', 'USB Drive', 'Monitor']",345,0,345.0
236,"['Keyboard', 'Headphones', 'Monitor', 'USB Drive', 'Backpack']",510,10,459.0
237,"['Charger', 'Backpack']",85,0,85.0
238,"['Charger', 'Laptop', 'Tablet', 'Mouse', 'USB Drive']",1475,0,1475.0
239,"['Mouse', 'Backpack', 'Smartphone']",790,5,750.5
240,"['Mouse', 'Tablet', 'Smartphone', 'Monitor', 'Backpack']",1490,0,1490.0
241,"['Headphones', 'Backpack']",140,15,119.0
242,"['Laptop', 'Keyboard']",1050,20,840.0
243,"['USB Drive', 'Tablet']",420,15,357.0
244,"['Headphones', 'Backpack', 'Tablet']",540,0,540.0
245,"['Charger', 'Laptop', 'Backpack', 'Headphones']",1165,0,1165.0
246,"['Charger', 'Headphones']",105,15,89.25
247,"['Headphones', 'Charger', 'Smartphone', 'USB Drive', 'Backpack']",885,0,885.0
248,"['Backpack', 'Keyboard']",110,20,88.0
249,"['Laptop', 'Mouse', 'Headphones', 'Charger']",1135,20,908.0
250,"['Backpack', 'Headphones', 'Monitor']",440,15,374.0
251,"['Tablet', 'Charger']",425,0,425.0
252,"['Keyboard', 'Monitor']",350,0,350.0
253,"['Monitor', 'Mouse', 'Smartphone']",1030,15,875.5
254,"['Backpack', 'Mouse', 'Laptop']",1090,0,1090.0
255,"['Monitor', 'Smartphone', 'Backpack']",1060,0,1060.0
256,"['USB Drive', 'Charger', 'Laptop', 'Monitor', 'Backpack']",1405,5,1334.75
257,"['Tablet', 'Smartphone']",1100,15,935.0
258,"['Monitor', 'Backpack', 'Headphones', 'Laptop', 'USB Drive']",1460,5,1387.0
259,"['Charger', 'Tablet']",425,5,403.75
260,"['Headphones', 'Mouse', 'Laptop', 'Tablet', 'Smartphone']",2210,0,2210.0
261,"['Charger', 'Mouse', 'Monitor', 'Tablet']",755,5,717.25
262,"['Backpack', 'Smartphone', 'Headphones', 'Monitor', 'USB Drive']",1160,20,928.0
263,"['Laptop', 'Smartphone', 'Tablet']",2100,0,2100.0
264,"['Charger', 'Mouse', 'Keyboard', 'Smartphone', 'USB Drive']",825,5,783.75
265,"['Tablet', 'Keyboard', 'Smartphone']",1150,15,977.5
266,"['Monitor', 'Mouse', 'Backpack', 'USB Drive']",410,10,369.0
267,"['Backpack', 'Charger']",85,5,80.75
268,"['USB Drive', 'Charger', 'Keyboard', 'Laptop', 'Smartphone']",1795,10,1615.5
269,"['Headphones', 'Mouse', 'USB Drive', 'Smartphone', 'Backpack']",890,0,890.0
270,"['Monitor', 'Laptop']",1300,0,1300.0
271,"['Tablet', 'Monitor', 'USB Drive', 'Mouse', 'Keyboard']",800,10,720.0
272,"['Smartphone', 'Backpack', 'USB Drive']",780,10,702.0
273,"['Laptop', 'Keyboard']",1050,15,892.5
274,"['Laptop', 'USB Drive', 'Smartphone', 'Headphones', 'Tablet']",2200,15,1870.0
275,"['Charger', 'Headphones', 'Mouse', 'Keyboard']",185,5,175.75
276,"['Headphones', 'Tablet', 'Charger', 'Monitor', 'Keyboard']",855,5,812.25
277,"['Monitor', 'Backpack']",360,10,324.0
278,"['Mouse', 'Charger', 'Smartphone', 'Backpack']",815,5,774.25
279,"['Tablet', 'Headphones', 'Monitor']",780,10,702.0
280,"['USB Drive', 'Headphones']",100,10,90.0
281,"['USB Drive', 'Laptop', 'Backpack']",1080,15,918.0
282,"['Backpack', 'Monitor', 'USB Drive', 'Keyboard']",430,0,430.0
283,"['Backpack', 'Charger']",85,0,85.0
284,"['Backpack', 'Keyboard', 'Tablet']",510,0,510.0
285,"['Monitor', 'Backpack', 'Laptop']",1360,5,1292.0
286,"['Smartphone', 'Laptop', 'Headphones']",1780,0,1780.0
287,"['USB Drive', 'Headphones', 'Keyboard', 'Laptop']",1150,0,1150.0
288,"['Keyboard', 'Laptop', 'USB Drive', 'Tablet']",1470,5,1396.5
289,"['USB Drive', 'Backpack', 'Keyboard', 'Charger']",155,0,155.0
290,"['Tablet', 'Keyboard']",450,5,427.5
291,"['Smartphone', 'Monitor', 'Tablet']",1400,0,1400.0
292,"['Smartphone', 'Headphones', 'Backpack', 'Charger']",865,0,865.0
293,"['Keyboard', 'Headphones', 'Laptop']",1130,10,1017.0
294,"['Smartphone', 'Headphones', 'Charger']",805,0,805.0
295,"['Mouse', 'Monitor', 'Laptop']",1330,0,1330.0
296,"['Charger', 'Monitor', 'Keyboard', 'USB Drive', 'Mouse']",425,5,403.75
297,"['Keyboard', 'Mouse', 'Backpack']",140,10,126.0
298,"['USB Drive', 'Charger', 'Backpack', 'Keyboard']",155,0,155.0
299,"['Laptop', 'Keyboard', 'Mouse']",1080,5,1026.0
300,"['Tablet', 'USB Drive', 'Headphones', 'Backpack', 'Keyboard']",610,0,610.0
301,"['Mouse', 'Charger']",55,0,55.0
302,"['Mouse', 'Headphones', 'Backpack']",170,5,161.5
303,"['Tablet', 'Charger']",425,5,403.75
304,"['Smartphone', 'Backpack', 'USB Drive', 'Keyboard']",830,5,788.5
305,"['Tablet', 'Mouse', 'Backpack', 'Smartphone', 'Keyboard']",1240,10,1116.0
306,"['Charger', 'Tablet']",425,20,340.0
307,"['Monitor', 'USB Drive']",320,5,304.0
308,"['Laptop', 'Headphones', 'Tablet', 'Keyboard', 'Smartphone']",2230,0,2230.0
309,"['Tablet', 'Mouse', 'Smartphone']",1130,10,1017.0
310,"['Mouse', 'Monitor', 'Laptop', 'Backpack']",1390,0,1390.0
311,"['Backpack', 'Laptop']",1060,0,1060.0
312,"['Charger', 'Tablet']",425,0,425.0
313,"['Tablet', 'Smartphone', 'Backpack', 'USB Drive', 'Mouse']",1210,0,1210.0
314,"['Laptop', 'Backpack', 'Tablet', 'Smartphone', 'Mouse']",2190,20,1752.0
315,"['Charger', 'Mouse', 'Backpack', 'USB Drive']",135,10,121.5
316,"['Headphones', 'Smartphone']",780,5,741.0
317,"['Charger', 'Tablet', 'Mouse', 'Backpack']",515,0,515.0
318,"['Charger', 'USB Drive', 'Smartphone']",745,0,745.0
319,"['Laptop', 'USB Drive']",1020,0,1020.0
320,"['USB Drive', 'Laptop']",1020,0,1020.0
321,"['Keyboard', 'USB Drive', 'Mouse']",100,5,95.0
322,"['Mouse', 'Keyboard', 'Backpack']",140,10,126.0
323,"['Charger', 'Backpack']",85,5,80.75
324,"['Keyboard', 'Mouse', 'Tablet']",480,0,480.0
325,"['Headphones', 'Mouse', 'USB Drive']",130,20,104.0
326,"['Keyboard', 'Charger', 'Tablet', 'Laptop']",1475,10,1327.5
327,"['Mouse', 'Monitor', 'Charger', 'Tablet', 'Headphones']",835,5,793.25
328,"['Keyboard', 'Headphones']",130,5,123.5
329,"['Monitor', 'Laptop']",1300,0,1300.0
330,"['Keyboard', 'Laptop', 'Tablet', 'Smartphone', 'Backpack']",2210,0,2210.0
331,"['Headphones', 'Smartphone']",780,0,780.0
332,"['Tablet', 'USB Drive', 'Smartphone']",1120,10,1008.0
333,"['USB Drive', 'Monitor', 'Smartphone', 'Mouse', 'Charger']",1075,0,1075.0
334,"['Charger', 'Laptop', 'Headphones']",1105,0,1105.0
335,"['Tablet', 'Keyboard', 'Headphones']",530,0,530.0
336,"['USB Drive', 'Tablet', 'Laptop', 'Backpack', 'Headphones']",1560,0,1560.0
337,"['Smartphone', 'Charger']",725,15,616.25
338,"['Laptop', 'Tablet', 'Keyboard', 'Monitor']",1750,10,1575.0
339,"['Laptop', 'USB Drive', 'Headphones']",1100,0,1100.0
340,"['Headphones', 'Mouse', 'Tablet', 'Laptop', 'Monitor']",1810,0,1810.0
341,"['Smartphone', 'Tablet', 'Headphones', 'Monitor', 'Charger']",1505,0,1505.0
342,"['Keyboard', 'Monitor', 'Charger', 'Tablet', 'Smartphone']",1475,0,1475.0
343,"['Headphones', 'Mouse', 'Monitor']",410,0,410.0
344,"['Headphones', 'USB Drive']",100,0,100.0
345,"['Headphones', 'Charger']",105,0,105.0
346,"['USB Drive', 'Mouse', 'Headphones', 'Monitor', 'Laptop']",1430,5,1358.5
347,"['Monitor', 'Mouse', 'Keyboard']",380,5,361.0
348,"['Monitor', 'Laptop', 'Tablet', 'Headphones']",1780,0,1780.0
349,"['Mouse', 'Charger', 'Smartphone']",755,0,755.0
350,"['Mouse', 'Backpack', 'Smartphone']",790,5,750.5
351,"['Backpack', 'Smartphone']",760,5,722.0
352,"['USB Drive', 'Keyboard', 'Monitor', 'Backpack']",430,15,365.5
353,"['Monitor', 'Smartphone', 'Charger', 'Laptop', 'Keyboard']",2075,5,1971.25
354,"['Monitor', 'Keyboard']",350,0,350.0
355,"['Monitor', 'USB Drive', 'Charger', 'Headphones']",425,0,425.0
356,"['Mouse', 'Laptop']",1030,5,978.5
357,"['Laptop', 'Mouse']",1030,0,1030.0
358,"['Headphones', 'Keyboard', 'Charger', 'Tablet', 'Monitor']",855,5,812.25
359,"['Headphones', 'Tablet', 'Charger', 'Laptop']",1505,15,1279.25
360,"['USB Drive', 'Backpack', 'Laptop']",1080,5,1026.0
361,"['Mouse', 'USB Drive', 'Keyboard']",100,0,100.0
362,"['Charger', 'USB Drive', 'Backpack', 'Keyboard', 'Monitor']",455,5,432.25
363,"['Laptop', 'Monitor']",1300,0,1300.0
364,"['Tablet', 'Charger', 'Smartphone', 'Headphones']",1205,5,1144.75
365,"['Monitor', 'Laptop', 'USB Drive', 'Backpack']",1380,15,1173.0
366,"['Monitor', 'Laptop', 'Mouse']",1330,0,1330.0
367,"['Monitor', 'USB Drive']",320,20,256.0
368,"['Keyboard', 'Tablet']",450,15,382.5
369,"['Mouse', 'Charger', 'Smartphone', 'USB Drive', 'Headphones']",855,0,855.0
370,"['Tablet', 'Mouse', 'Smartphone', 'Monitor', 'Headphones']",1510,0,1510.0
371,"['Headphones', 'Mouse', 'Laptop', 'Keyboard']",1160,0,1160.0
372,"['Charger', 'USB Drive', 'Tablet', 'Headphones']",525,0,525.0
373,"['Backpack', 'Monitor']",360,0,360.0
374,"['Laptop', 'Tablet', 'Smartphone', 'Backpack', 'USB Drive']",2180,5,2071.0
375,"['Tablet', 'Keyboard', 'Charger', 'Laptop']",1475,0,1475.0
376,"['Monitor', 'Backpack', 'Tablet']",760,0,760.0
377,"['Charger', 'Tablet']",425,10,382.5
378,"['Mouse', 'Monitor', 'Headphones']",410,0,410.0
379,"['Mouse', 'Backpack', 'Headphones', 'Charger']",195,10,175.5
