quarter,department,expense_type,revenue,expenses,investment,roi_percentage,economic_index,profit
2024-12-31,Sales,Marketing Spend,644051.49,400259.33,87984.78,0.084,104.9,243792.16
2021-09-30,Marketing,Salaries,589114.55,242064.55,60531.87,0.227,81.78,347050.0
2024-12-31,Marketing,Admin,466777.13,344354.71,59328.57,0.066,85.28,122422.42
2019-09-30,IT,COGS,561279.98,314324.74,59020.29,0.055,108.9,246955.24
2020-12-31,Operations,R&D,277442.18,315913.07,41383.22,0.192,92.38,-38470.89
2019-12-31,Finance,Marketing Spend,547528.58,329840.05,29902.28,0.071,119.67,217688.53
2021-09-30,Finance,COGS,414293.21,348238.62,49477.43,0.223,92.5,66054.59
2018-09-30,IT,Salaries,667375.25,404494.68,47744.28,0.174,93.43,262880.57
2021-06-30,Finance,Marketing Spend,536754.24,374667.02,54532.31,0.116,96.78,162087.22
2022-03-31,Marketing,Marketing Spend,513100.68,422083.55,43925.44,0.105,113.11,91017.13
2018-12-31,IT,Utilities,417929.51,214878.4,66815.16,0.066,102.29,203051.11
2022-06-30,Sales,Salaries,418554.94,192687.59,66340.91,0.187,114.29,225867.35
2019-12-31,Operations,Utilities,559255.35,432573.96,21044.08,0.233,97.09,126681.39
2018-12-31,Operations,Salaries,416993.21,344999.08,16098.57,0.201,104.33,71994.13
2018-06-30,Operations,Salaries,413061.76,214878.81,34437.43,0.174,80.18,198182.95
2019-06-30,Marketing,Utilities,640708.48,277636.33,23358.55,0.074,103.02,363072.15
2023-06-30,Sales,COGS,528755.01,342961.81,71302.65,0.216,83.22,185793.2
2020-06-30,IT,COGS,390381.12,296235.84,37068.62,0.243,87.72,94145.28
2018-12-31,IT,COGS,555174.66,348993.27,60407.93,0.103,119.9,206181.39
2023-06-30,Operations,Admin,472093.99,206031.36,47278.72,0.134,105.49,266062.63
2022-06-30,Sales,Marketing Spend,323417.75,297586.61,68164.95,0.053,114.77,25831.14
2024-06-30,Sales,COGS,450099.15,309409.66,41282.29,0.216,82.29,140689.49
2020-12-31,Sales,Admin,395141.87,243464.16,18646.41,0.054,95.38,151677.71
2018-06-30,Finance,Marketing Spend,525577.76,277334.69,36134.19,0.147,114.5,248243.07
2020-06-30,Finance,COGS,434441.8,262935.21,-5095.08,0.165,96.43,171506.59
2018-12-31,Operations,Salaries,509090.23,211249.12,19822.7,0.061,90.15,297841.11
2021-06-30,Sales,R&D,566625.97,250604.9,56798.28,0.085,99.24,316021.07
2021-12-31,Sales,COGS,736095.97,315277.65,53882.68,0.208,98.84,420818.32
2021-09-30,IT,R&D,697990.12,222036.02,38578.89,0.101,119.63,475954.1
2019-12-31,IT,COGS,522324.94,246009.2,46572.55,0.195,94.18,276315.74
2021-06-30,Operations,Salaries,494739.59,163766.77,18135.49,0.2,118.29,330972.82
2023-09-30,Sales,R&D,440490.83,415223.76,63515.58,0.131,116.48,25267.07
2024-12-31,Operations,Admin,335690.2,374081.7,45898.32,0.063,97.98,-38391.5
2024-03-31,IT,Salaries,271368.62,396381.57,60548.55,0.052,117.8,-125012.95
2019-12-31,IT,R&D,415729.6,328885.3,59387.3,0.149,109.16,86844.3
2023-03-31,Finance,R&D,663744.48,323555.22,55667.97,0.064,115.4,340189.26
2021-12-31,Operations,Utilities,660309.76,283107.17,31046.54,0.195,115.67,377202.59
2021-03-31,Operations,Utilities,507164.33,404020.88,55556.51,0.126,83.42,103143.45
2022-06-30,Sales,Salaries,546521.62,301887.79,58752.52,0.187,115.87,244633.83
2021-09-30,Sales,Salaries,439528.29,143175.63,36547.0,0.132,99.58,296352.66
2023-03-31,Finance,Salaries,496984.96,145366.93,56363.74,0.176,105.48,351618.03
2023-12-31,Marketing,Marketing Spend,422382.66,329075.42,20971.99,0.217,92.02,93307.24
2024-06-30,Marketing,Admin,422203.0,223232.63,60980.44,0.227,105.82,198970.37
2024-03-31,Marketing,COGS,561253.79,307790.56,56141.43,0.053,81.08,253463.23
2024-12-31,Operations,Utilities,439470.64,360710.86,79818.32,0.179,94.85,78759.78
2024-12-31,Operations,R&D,549216.58,233636.21,88461.97,0.163,105.14,315580.37
2024-12-31,IT,Utilities,485280.85,276033.05,44925.79,0.177,87.87,209247.8
2021-03-31,Operations,COGS,641787.22,278940.88,60213.57,0.062,106.9,362846.34
2020-03-31,Operations,Salaries,555234.13,230671.61,56914.89,0.064,113.16,324562.52
2021-09-30,Operations,Utilities,524432.63,185668.46,44504.04,0.149,81.49,338764.17
2021-03-31,Finance,Admin,356967.63,212607.69,14491.04,0.061,104.16,144359.94
2018-03-31,Operations,Admin,450949.05,180509.01,27287.75,0.205,103.23,270440.04
2024-03-31,Sales,Marketing Spend,494971.57,285782.67,39327.56,0.204,111.28,209188.9
2019-09-30,Sales,Utilities,505456.12,284699.91,55388.39,0.073,107.9,220756.21
2020-03-31,IT,Salaries,566322.88,257850.88,77636.48,0.141,98.18,308472.0
2023-12-31,Finance,R&D,520602.01,186393.71,47954.08,0.169,94.18,334208.3
2018-03-31,Sales,Marketing Spend,396677.2,388426.93,70806.49,0.222,119.43,8250.27
2020-12-31,Finance,Salaries,559211.43,250191.56,78976.55,0.248,100.07,309019.87
2019-12-31,Finance,Marketing Spend,453873.29,505328.89,38544.88,0.053,96.32,-51455.6
2023-12-31,IT,Utilities,435246.85,369213.92,21930.61,0.145,119.72,66032.93
2020-09-30,Finance,COGS,389728.7,135022.87,50748.26,0.211,87.22,254705.83
2022-09-30,Operations,Utilities,464867.16,398754.8,23232.55,0.209,87.45,66112.36
2022-03-31,Finance,Salaries,444279.0,243804.04,86347.54,0.158,119.06,200474.96
2019-12-31,IT,R&D,616074.13,225845.75,73321.26,0.086,106.31,390228.38
2018-09-30,IT,R&D,473248.97,278235.24,78180.32,0.162,100.79,195013.73
2018-09-30,IT,Salaries,553216.16,390703.85,15402.17,0.128,82.71,162512.31
2018-03-31,Sales,Marketing Spend,319726.16,341870.61,42729.77,0.132,94.23,-22144.45
2024-09-30,Operations,Admin,574443.19,314597.87,51065.89,0.116,97.33,259845.32
2019-03-31,Sales,Salaries,564138.35,234249.23,58034.94,0.079,100.46,329889.12
2020-06-30,Marketing,Utilities,354427.21,375449.72,42779.69,0.198,97.46,-21022.51
2019-09-30,Operations,R&D,412815.75,221275.18,-1939.65,0.192,97.52,191540.57
2024-06-30,Finance,COGS,433700.58,383431.05,59248.45,0.159,119.79,50269.53
2020-03-31,IT,R&D,479730.49,326651.56,85337.65,0.121,118.96,153078.93
2024-12-31,Marketing,Admin,429509.09,252343.85,90199.23,0.215,83.45,177165.24
2019-09-30,Operations,R&D,475503.84,470041.4,44687.59,0.082,86.74,5462.44
2020-03-31,Sales,Admin,565356.35,372964.42,51570.64,0.137,117.66,192391.93
2019-12-31,IT,Salaries,444183.24,344690.77,29877.07,0.181,92.76,99492.47
2020-12-31,Sales,R&D,529724.7,308267.0,51589.42,0.214,104.46,221457.7
2018-06-30,Operations,Marketing Spend,517553.85,208500.25,41422.9,0.18,111.91,309053.6
2018-03-31,Operations,Utilities,204247.47,303025.45,39633.75,0.074,98.83,-98777.98
2021-12-31,Marketing,Marketing Spend,419217.33,428338.06,20070.19,0.07,80.66,-9120.73
2023-09-30,Finance,Utilities,598566.39,189795.58,80819.1,0.06,113.12,408770.81
2023-09-30,Sales,R&D,410526.59,345382.61,45131.76,0.162,110.25,65143.98
2023-12-31,Marketing,R&D,392916.8,411544.53,40432.21,0.099,81.66,-18627.73
2019-03-31,IT,Utilities,603589.33,415546.2,54487.55,0.082,115.89,188043.13
2018-09-30,Finance,COGS,515344.41,227992.99,38424.05,0.067,114.28,287351.42
2020-12-31,Marketing,R&D,645726.02,256407.69,8055.81,0.178,91.0,389318.33
2019-12-31,Sales,COGS,453520.03,308073.82,76110.2,0.201,83.21,145446.21
2023-06-30,Operations,COGS,620213.42,336307.75,50689.47,0.222,96.13,283905.67
2024-09-30,IT,Utilities,411115.66,402538.1,65747.29,0.169,115.0,8577.56
2018-09-30,Sales,COGS,243154.65,283909.01,53872.23,0.121,99.3,-40754.36
2018-03-31,Finance,COGS,567327.3,375651.04,68974.86,0.144,91.26,191676.26
2018-09-30,Finance,Salaries,557323.24,94881.14,64040.14,0.177,89.27,462442.1
2019-03-31,Operations,Marketing Spend,567288.16,278720.85,5641.46,0.193,94.2,288567.31
2021-09-30,Operations,COGS,479346.21,375575.14,58966.12,0.179,119.76,103771.07
2021-06-30,IT,Marketing Spend,646695.09,366679.79,32138.02,0.242,115.14,280015.3
2018-09-30,IT,COGS,586550.86,223339.32,32048.59,0.2,101.88,363211.54
2018-03-31,Operations,Marketing Spend,582491.9,382120.23,16202.72,0.2,112.34,200371.67
2019-03-31,Operations,R&D,512165.41,186383.89,86168.19,0.214,92.65,325781.52
2024-06-30,Finance,R&D,365300.15,395715.61,47273.41,0.142,104.61,-30415.46
2023-09-30,Operations,Marketing Spend,506764.72,283653.32,41675.76,0.103,114.91,223111.4
2021-06-30,Marketing,COGS,535945.65,263893.38,34689.15,0.213,94.71,272052.27
2019-09-30,Sales,Salaries,703280.39,276154.86,96944.5,0.143,112.02,427125.53
2024-09-30,Operations,Marketing Spend,526604.4,330323.2,70265.91,0.171,104.57,196281.2
2020-03-31,IT,Admin,395391.58,466429.86,1952.51,0.136,104.61,-71038.28
2021-09-30,Marketing,Salaries,546728.86,397448.1,77281.97,0.129,81.64,149280.76
2021-09-30,IT,Admin,625752.21,208226.14,31624.17,0.184,115.97,417526.07
2024-06-30,Marketing,Marketing Spend,670856.47,216695.45,63149.57,0.183,111.05,454161.02
2020-06-30,Operations,COGS,489309.92,147535.75,41132.8,0.112,81.46,341774.17
2024-12-31,Sales,Admin,480041.19,324709.41,15296.87,0.088,104.43,155331.78
2021-03-31,IT,Marketing Spend,358864.57,286436.9,39695.79,0.076,109.84,72427.67
2022-09-30,Marketing,Salaries,439665.59,350190.06,54823.43,0.073,111.8,89475.53
2019-09-30,Finance,COGS,543281.46,259920.48,55147.77,0.214,83.54,283360.98
2022-03-31,Operations,Admin,347613.84,268280.75,42994.41,0.107,105.6,79333.09
2022-12-31,Sales,Marketing Spend,704755.22,183832.35,51066.25,0.186,89.32,520922.87
2018-12-31,Operations,COGS,464333.25,388267.99,52645.79,0.107,98.06,76065.26
2019-03-31,Finance,COGS,512035.95,251843.65,68251.4,0.183,101.06,260192.3
2023-09-30,Sales,R&D,534214.19,233151.02,76213.47,0.247,81.09,301063.17
2019-09-30,Finance,COGS,612914.49,377325.72,50037.38,0.063,91.98,235588.77
2021-03-31,Operations,Marketing Spend,526671.18,181941.62,23528.01,0.181,111.9,344729.56
2021-09-30,Marketing,Salaries,393189.57,343975.57,62804.32,0.107,113.69,49214.0
2020-09-30,Operations,Utilities,542180.48,238548.82,63659.16,0.067,93.2,303631.66
2018-12-31,Operations,R&D,612704.46,290726.22,67833.19,0.066,97.67,321978.24
2021-03-31,Operations,Marketing Spend,410530.41,145216.74,30816.05,0.124,113.25,265313.67
2019-09-30,IT,Marketing Spend,580003.25,346201.53,66131.15,0.158,88.03,233801.72
2024-09-30,Finance,Marketing Spend,525424.92,464002.34,56327.36,0.179,109.24,61422.58
2022-09-30,Finance,Admin,509514.96,198959.3,61594.54,0.164,96.29,310555.66
2023-06-30,Finance,Admin,436001.2,392400.08,34695.23,0.23,119.48,43601.12
2024-12-31,IT,Salaries,477775.53,296215.47,12488.04,0.081,104.07,181560.06
2018-06-30,Marketing,Marketing Spend,543857.32,342768.32,22743.43,0.216,85.92,201089.0
2020-06-30,Operations,Admin,457582.36,205597.16,67664.56,0.156,86.87,251985.2
2021-03-31,Marketing,Admin,402071.48,217438.73,84231.48,0.222,81.09,184632.75
2024-03-31,IT,Admin,397987.01,306996.76,65605.99,0.135,108.59,90990.25
2023-03-31,Finance,Salaries,528092.03,282686.41,25491.22,0.146,97.73,245405.62
2019-06-30,Operations,Salaries,548927.09,311925.58,49124.05,0.134,80.44,237001.51
2024-12-31,Sales,Marketing Spend,493230.97,182910.33,55839.73,0.069,84.06,310320.64
2024-12-31,Sales,R&D,681512.26,348833.9,50889.07,0.079,91.58,332678.36
2020-12-31,Marketing,Marketing Spend,329932.6,331068.57,53176.1,0.154,96.96,-1135.97
2020-12-31,Finance,Admin,537970.64,388472.2,28715.52,0.157,117.54,149498.44
2022-12-31,Sales,Utilities,315926.53,325321.05,20182.27,0.144,101.65,-9394.52
2020-09-30,Marketing,Admin,489619.4,480455.63,30364.07,0.053,115.77,9163.77
2024-06-30,IT,COGS,525004.54,460605.87,25108.48,0.151,90.02,64398.67
2023-09-30,Marketing,Utilities,482348.25,301377.19,52283.05,0.077,93.29,180971.06
2024-12-31,Marketing,Utilities,304786.08,298217.25,54628.26,0.163,115.23,6568.83
2024-03-31,Marketing,Marketing Spend,490488.06,233594.15,22474.8,0.108,99.65,256893.91
2019-09-30,Operations,Admin,500292.17,191525.13,48317.44,0.248,103.61,308767.04
2018-03-31,Marketing,Admin,589748.25,281771.88,86909.28,0.122,102.97,307976.37
2018-03-31,Marketing,R&D,357297.55,248485.57,52845.67,0.214,105.82,108811.98
2024-03-31,Operations,COGS,644096.31,237166.26,41383.52,0.099,103.56,406930.05
2024-09-30,Operations,Marketing Spend,248218.32,328110.99,67352.75,0.088,107.77,-79892.67
2024-03-31,IT,Salaries,370400.2,173925.43,97542.74,0.094,85.89,196474.77
2022-12-31,Finance,Marketing Spend,517613.77,205399.82,54153.04,0.117,108.43,312213.95
2021-03-31,Sales,Utilities,531065.74,142260.47,38134.82,0.22,86.02,388805.27
2020-03-31,Sales,Marketing Spend,651195.53,191796.9,52348.32,0.203,93.62,459398.63
2018-09-30,Marketing,R&D,519325.53,251688.79,77664.93,0.137,113.25,267636.74
2019-09-30,IT,Marketing Spend,489846.13,364646.19,48513.39,0.088,104.31,125199.94
2019-06-30,Marketing,R&D,544443.68,454623.88,50669.99,0.06,118.69,89819.8
2019-12-31,Sales,Utilities,265873.39,161804.98,78358.16,0.174,90.09,104068.41
2024-09-30,Operations,R&D,399233.37,370168.33,52261.63,0.191,116.83,29065.04
2020-03-31,Finance,Admin,382466.48,222936.18,84405.04,0.171,105.68,159530.3
2019-03-31,IT,Salaries,595193.69,313067.74,22055.22,0.15,94.77,282125.95
2018-03-31,Operations,Utilities,630000.73,346143.27,59155.54,0.245,111.47,283857.46
2022-09-30,Finance,R&D,686496.56,412441.54,89498.83,0.055,118.19,274055.02
2020-06-30,IT,COGS,556955.27,491673.95,99190.89,0.248,111.18,65281.32
2020-12-31,IT,Utilities,589201.07,383410.27,41775.41,0.105,80.26,205790.8
2023-12-31,Sales,COGS,509393.83,262000.91,44695.73,0.127,80.41,247392.92
2021-09-30,Operations,Salaries,450069.13,176915.71,88850.21,0.201,85.05,273153.42
2024-09-30,IT,R&D,392039.17,318591.66,43111.87,0.095,114.03,73447.51
2023-06-30,IT,Utilities,383078.87,351670.34,39678.52,0.192,110.01,31408.53
2023-12-31,Finance,Utilities,362880.32,207614.04,40077.57,0.117,105.59,155266.28
2020-03-31,Sales,Salaries,573110.91,362059.37,32346.64,0.238,107.78,211051.54
2022-12-31,Marketing,Admin,459006.86,265768.73,28655.75,0.084,104.79,193238.13
2022-03-31,Sales,COGS,427645.81,209561.9,46240.89,0.236,93.92,218083.91
2022-03-31,Marketing,Utilities,297283.72,310946.36,17439.67,0.208,108.82,-13662.64
2024-06-30,Operations,Marketing Spend,408682.73,227791.94,37957.84,0.084,117.4,180890.79
2022-12-31,Operations,COGS,471289.45,207504.25,81508.58,0.128,109.99,263785.2
2020-12-31,IT,R&D,346359.05,322964.46,67802.24,0.071,114.69,23394.59
2019-09-30,Operations,Salaries,765999.59,333225.44,38815.92,0.17,89.49,432774.15
2018-06-30,IT,COGS,365965.22,270773.31,55265.54,0.242,93.97,95191.91
2018-09-30,Sales,Marketing Spend,615258.72,321976.3,48187.27,0.066,100.31,293282.42
2022-03-31,Operations,Marketing Spend,487947.68,391332.61,35003.78,0.102,98.86,96615.07
2019-03-31,Sales,Salaries,443353.33,366572.95,3996.4,0.201,98.64,76780.38
2022-03-31,Sales,Salaries,475056.93,233909.7,32216.16,0.142,105.62,241147.23
2023-12-31,Operations,COGS,501406.07,302235.45,43991.79,0.118,114.22,199170.62
2022-03-31,Sales,R&D,522651.63,244080.78,100054.95,0.17,115.49,278570.85
2024-09-30,Operations,Admin,401807.15,187966.46,62577.61,0.109,86.02,213840.69
2022-03-31,Operations,Marketing Spend,555932.08,351414.4,48088.95,0.116,83.61,204517.68
2018-06-30,Operations,Salaries,472069.28,380214.83,60200.62,0.211,92.45,91854.45
2018-06-30,Marketing,Admin,366873.74,262071.49,55117.09,0.128,109.49,104802.25
2024-12-31,Sales,Admin,457216.76,318785.77,36127.37,0.19,111.74,138430.99
2023-06-30,Finance,Admin,641969.07,423774.39,48913.46,0.08,95.33,218194.68
2023-09-30,Operations,R&D,521943.05,381999.23,43023.34,0.13,92.42,139943.82
2019-03-31,Sales,Salaries,500456.82,253095.36,19764.95,0.16,85.22,247361.46
2018-03-31,IT,Marketing Spend,460229.37,293628.64,38857.87,0.103,89.53,166600.73
2018-03-31,Operations,Salaries,468089.43,243351.61,48126.67,0.134,84.03,224737.82
2022-09-30,Operations,COGS,522010.47,318335.51,59004.95,0.202,92.15,203674.96
2018-06-30,Finance,Marketing Spend,473451.88,303237.37,50742.94,0.082,107.04,170214.51
2023-03-31,Marketing,Salaries,545411.19,207769.21,69406.67,0.15,85.16,337641.98
2020-12-31,Marketing,Marketing Spend,532325.79,263524.35,46052.76,0.102,92.85,268801.44
2024-06-30,Operations,COGS,380702.8,134804.6,76031.01,0.132,101.15,245898.2
2019-06-30,Sales,Utilities,552787.29,216889.9,54120.0,0.125,93.08,335897.39
2023-09-30,IT,Marketing Spend,404540.46,333019.08,59459.64,0.181,97.58,71521.38
2018-12-31,IT,Utilities,400427.52,311461.73,55840.39,0.203,99.87,88965.79
2023-09-30,Sales,Admin,497473.21,375747.29,40556.3,0.15,111.0,121725.92
2020-09-30,Operations,R&D,525820.85,304218.17,63163.73,0.083,113.72,221602.68
2023-12-31,IT,COGS,561492.58,284306.37,38384.9,0.224,87.7,277186.21
2024-09-30,Marketing,Marketing Spend,284366.54,448632.3,31065.78,0.087,94.77,-164265.76
2022-03-31,Sales,COGS,578924.75,272858.44,55530.37,0.166,103.01,306066.31
2019-06-30,Finance,Admin,541266.2,269186.99,48780.71,0.155,99.98,272079.21
2023-12-31,Operations,Utilities,427389.82,303968.67,34560.05,0.107,83.22,123421.15
2019-03-31,Sales,R&D,476367.41,237775.8,52062.11,0.241,93.8,238591.61
2022-12-31,IT,COGS,519809.92,320564.24,63939.09,0.185,89.1,199245.68
2018-06-30,Operations,Utilities,151021.99,242050.4,46225.35,0.144,96.69,-91028.41
2019-06-30,Marketing,Admin,374897.52,265494.61,82039.04,0.139,93.52,109402.91
2023-06-30,Operations,Admin,616127.52,240376.34,73157.65,0.068,107.82,375751.18
2020-09-30,Operations,Admin,439761.98,157776.89,41668.66,0.206,96.06,281985.09
2021-12-31,Marketing,Utilities,491407.85,106697.66,27223.64,0.067,89.66,384710.19
2021-12-31,Marketing,Marketing Spend,488335.17,186097.34,47673.58,0.09,104.79,302237.83
2018-03-31,Operations,Salaries,571465.28,391287.13,59163.61,0.083,109.08,180178.15
2020-03-31,Marketing,COGS,459335.82,306011.27,16339.35,0.064,84.33,153324.55
2024-12-31,Sales,Salaries,467784.03,261588.27,16002.04,0.216,90.05,206195.76
2024-09-30,Marketing,Admin,519057.73,216832.48,25209.56,0.231,88.35,302225.25
2019-06-30,Marketing,Salaries,584665.07,400885.03,72967.25,0.175,88.04,183780.04
2021-12-31,Operations,Utilities,616308.57,248665.54,78433.38,0.226,116.08,367643.03
2018-09-30,Sales,Admin,468102.75,232391.62,28930.87,0.185,85.04,235711.13
2022-12-31,Finance,Admin,450910.53,148651.8,22126.24,0.187,114.85,302258.73
2024-12-31,Finance,R&D,485374.1,121516.78,54642.02,0.228,95.76,363857.32
2024-09-30,IT,R&D,633504.32,336910.67,52777.43,0.068,105.63,296593.65
2018-12-31,Marketing,Utilities,577829.16,434906.18,26187.02,0.061,97.64,142922.98
2022-09-30,Marketing,Utilities,452023.72,323712.77,29886.98,0.061,103.95,128310.95
2024-06-30,Sales,Salaries,338595.39,322653.48,36853.66,0.134,102.07,15941.91
2018-09-30,Finance,COGS,610696.89,443713.16,41392.56,0.239,97.32,166983.73
2022-09-30,IT,Salaries,621925.01,340067.69,56105.94,0.224,91.0,281857.32
2022-12-31,Sales,Utilities,388908.3,299380.27,3144.99,0.206,117.23,89528.03
2019-09-30,Marketing,COGS,455479.76,344759.13,88125.13,0.131,116.64,110720.63
2022-12-31,Finance,Salaries,587652.18,372230.83,57470.79,0.215,82.84,215421.35
2020-03-31,IT,Marketing Spend,538579.94,340758.61,51734.57,0.094,88.94,197821.33
2018-03-31,Operations,Marketing Spend,300568.71,261151.04,37361.21,0.167,102.96,39417.67
2019-12-31,Finance,COGS,387196.46,332520.54,33139.91,0.199,119.22,54675.92
2019-09-30,IT,R&D,558162.2,244563.62,34165.27,0.068,109.1,313598.58
2022-06-30,Sales,COGS,524920.82,297518.53,40217.42,0.225,112.73,227402.29
2019-12-31,Operations,Salaries,566601.05,331780.96,58179.17,0.195,92.57,234820.09
2018-03-31,IT,Admin,578056.73,447104.93,72768.99,0.157,88.76,130951.8
2020-09-30,IT,Marketing Spend,524170.77,335094.48,21728.69,0.062,89.04,189076.29
2024-12-31,Marketing,Admin,542037.84,301312.75,41179.43,0.189,99.33,240725.09
2024-03-31,Finance,Marketing Spend,443041.29,267963.0,52788.65,0.139,114.34,175078.29
2024-03-31,Marketing,Salaries,511424.49,253279.45,54206.05,0.197,88.65,258145.04
2022-06-30,Operations,Marketing Spend,531346.5,269060.41,38428.17,0.057,102.81,262286.09
2023-09-30,IT,COGS,670595.69,303216.42,42736.59,0.165,112.35,367379.27
